z,delta_mu_su2r_minus_lcdm
1.3860000000000001,0.009343898010470753
1.387,0.00934356059874375
1.388,0.009343218878598236
1.389,0.009342872861871854
1.3900000000000001,0.00934252256040935
1.391,0.009342167985991523
1.392,0.009341809150392066
1.393,0.009341446065320724
1.3940000000000001,0.009341078742536979
1.395,0.009340707193693731
1.396,0.009340331430458093
1.397,0.009339951464454543
1.3980000000000001,0.00933956730727914
1.399,0.009339178970506623
1.4,0.009338786465690418
1.401,0.009338389804348424
1.4020000000000001,0.00933798899797722
1.403,0.009337584058023651
1.404,0.009337174995941666
1.405,0.00933676182314258
1.4060000000000001,0.009336344550987974
1.407,0.009335923190853634
1.408,0.009335497754072719
1.409,0.009335068251935752
1.4100000000000001,0.009334634695733257
1.411,0.00933419709669181
1.412,0.009333755466052196
1.413,0.00933330981501257
1.4140000000000001,0.009332860154735556
1.415,0.009332406496355361
1.416,0.009331948851006189
1.417,0.0093314872297654
1.418,0.009331021643717463
1.419,0.009330552103868683
1.42,0.009330078621260895
1.421,0.009329601206850668
1.422,0.009329119871622993
1.423,0.009328634626506016
1.424,0.009328145482406569
1.425,0.009327652450203061
1.426,0.00932715554074548
1.427,0.009326654764876707
1.428,0.009326150133396993
1.429,0.00932564165708527
1.43,0.009325129346692052
1.431,0.009324613212946531
1.432,0.009324093266563693
1.433,0.00932356951820168
1.434,0.009323041978518631
1.435,0.009322510658151373
1.436,0.009321975567679885
1.437,0.009321436717705467
1.438,0.00932089411875836
1.439,0.009320347781375915
1.44,0.009319797716045741
1.441,0.009319243933262555
1.442,0.009318686443471336
1.443,0.009318125257095744
1.444,0.00931756038453102
1.445,0.009316991836158195
1.446,0.00931641962233698
1.447,0.00931584375337735
1.448,0.009315264239603493
1.449,0.009314681091275645
1.45,0.009314094318654043
1.451,0.009313503931977607
1.452,0.009312909941435521
1.453,0.009312312357216967
1.454,0.009311711189489813
1.455,0.009311106448357975
1.456,0.009310498143946688
1.457,0.009309886286345659
1.458,0.009309270885609067
1.459,0.009308651951769775
1.46,0.009308029494846437
1.461,0.009307403524815072
1.462,0.009306774051658806
1.463,0.00930614108530392
1.464,0.009305504635669593
1.465,0.009304864712660788
1.466,0.009304221326139839
1.467,0.009303574485947763
1.468,0.009302924201911367
1.469,0.009302270483821928
1.47,0.009301613341477832
1.471,0.009300952784613514
1.472,0.009300288822970515
1.473,0.009299621466233532
1.474,0.009298950724115684
1.475,0.009298276606244826
1.476,0.009297599122291444
1.477,0.00929691828184076
1.478,0.009296234094499312
1.479,0.009295546569831004
1.48,0.009294855717392636
1.4809999999999999,0.009294161546684165
1.482,0.009293464067226864
1.483,0.009292763288478056
1.484,0.009292059219902171
1.4849999999999999,0.009291351870935216
1.486,0.009290641250977671
1.487,0.009289927369430018
1.488,0.009289210235642997
1.4889999999999999,0.009288489858974458
1.49,0.009287766248711193
1.491,0.009287039414175524
1.492,0.009286309364647138
1.4929999999999999,0.009285576109370197
1.494,0.009284839657581756
1.495,0.009284100018469132
1.496,0.009283357201248066
1.4969999999999999,0.009282611215063241
1.498,0.009281862069066449
1.499,0.009281109772366847
1.5,0.009280354334080698
