amplitude_scale,partition,n_replicates,predictive_detection_rate,joint_recovery_rate,delta_cvlpd_median,delta_cvlpd_q05,delta_cvlpd_q95,amplitude_ratio_median,direction_separation_median_deg
0.0,threshold_calibration,1000,0.009,nan,-2.5897229297287225,-6.716912862246116,1.6105417973796283,nan,nan
0.0,untouched_validation,1000,0.009,nan,-2.726399114425604,-6.668997504945183,1.3228995098142937,nan,nan
0.5,fresh_injection,1000,0.032,0.0,-2.208561021240598,-6.360714084989516,2.1986203183154336,2.9985969356436644,64.14970290043121
1.0,fresh_injection,1000,0.08,0.0,-1.6656294544120414,-6.10032779642143,4.215314969950167,1.7005133183557612,45.43850404697823
1.5,fresh_injection,1000,0.203,0.016,0.3400119050162118,-4.630225274467816,7.317965096518317,1.342434883722435,36.331533740424256
2.0,fresh_injection,1000,0.481,0.154,3.009480031323477,-2.9664610222292307,12.163933879320943,1.2002143960457619,29.886666692256775
