release,N_low_z,model,parameter,MLE,posterior_mean,posterior_median,posterior_standard_deviation,q16,q84,q2p5,q97p5,grid_lower,grid_upper,grid_points,edge_delta_chi2_lower,edge_delta_chi2_upper,used_full_bound_fallback,local_sigma_estimate
PantheonPlusSH0ES,1370,PATH_GAMMA2P3,p,0.7765746398657866,0.7766783903553807,0.7764641713113738,0.03592766593280114,0.7407697537086106,0.8122269108802744,0.7061801171565586,0.8470139229995356,0.4891577411767158,1.0639915385548573,1601,64.98731454996982,63.01617613411645,False,0.03592711233613385
DES_Dovekie_raw,958,PATH_GAMMA2P3,p,0.8182565831692485,0.8183919772708885,0.8181484821369837,0.039672846578899974,0.778740122825097,0.857646047061145,0.7405642152306774,0.8960795229584108,0.5008806742181862,1.135632492120311,1601,65.16705887786384,62.83748833612594,False,0.03967198861888279
Union3p1_UNITY1p8,9,PATH_GAMMA2P3,p,0.8191030505742328,0.8193454630148329,0.8190077994362032,0.05137275379833024,0.7679999510244956,0.8701754624705894,0.7186284546035119,0.9200080099650358,0.40813787391990886,1.2300682272285568,1601,65.61513934834942,62.39455261677732,False,0.051370647081790496
