model,release,N_high_z,integrated_log_predictive_density,posterior_mean_high_z_chi2,posterior_predictive_upper_tail_area,posterior_predictive_two_sided_tail_area
PATH_GAMMA2P3,JOINT,1085,211.4072729276029,943.3824919439487,0.9992189795419044,
PATH_GAMMA2P3,PantheonPlusSH0ES,210,98.506934108064,139.60450786014036,0.9999468424974078,0.00010631500518432091
PATH_GAMMA2P3,DES_Dovekie_raw,862,89.94665395971538,793.4352716362874,0.9534592279030805,0.09308154419383907
PATH_GAMMA2P3,Union3p1_UNITY1p8,13,22.920310777797443,10.34271244752105,0.6655949045795571,0.6688101908408859
LCDM,JOINT,1085,211.64782648993955,944.60492390082,0.9990918241184115,
LCDM,PantheonPlusSH0ES,210,98.08838592933961,140.3702013090629,0.9999361633329256,0.00012767333414887005
LCDM,DES_Dovekie_raw,862,90.1929230752651,793.8137902653802,0.9521949091045825,0.09561018179083502
LCDM,Union3p1_UNITY1p8,13,22.967896843014714,10.4209323263767,0.6587587937939456,0.6824824124121087
