z,c_over_c0,abs_dz_dT_over_H0,dimensionless_PATH_integral,dimensionless_LCDM_luminosity_distance,anchored_delta_mu_PATH_minus_LCDM_mag
0.5,2.15,1.3834251863103721,0.6520525709923943,0.6545884779397317,-0.006696673092268859
1.0,3.3,1.7416678023500245,1.5198385951164752,1.5157356344453574,0.007602091832698986
1.5,4.449999999999999,2.0822785754929165,2.530728293298814,2.4909963382200493,0.03609420847491701
2.26226,6.2031979999999995,2.5766530381541517,4.2684651002342315,4.106967369893489,0.0854844643135108
