candidate,reference,dataset,group,N,budget_sigma_mag,candidate_residual_mode_mag,reference_residual_mode_mag,delta_mode_mag,abs_delta_over_budget,within_budget
PETER_NOLOSS_LCONST,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_1,321,0.008075982502836906,0.0025674823849911824,-0.0038003518887582775,0.00636783427374946,0.7884903504326052,True
COMPOSITE_S_FREE,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_1,321,0.008075982502836906,0.0063446824292321645,-0.0038003518887582775,0.010145034317990442,1.2561981547665222,False
PETER_NOLOSS_LCONST,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_4,160,0.018936388261509243,0.03302596506459921,-0.004594353486439978,0.03762031855103919,1.9866681033102576,False
COMPOSITE_S_FREE,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_4,160,0.018936388261509243,0.014812764032243719,-0.004594353486439978,0.019407117518683698,1.0248584498096331,False
PETER_NOLOSS_LCONST,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_5,74,0.019312110579827364,-0.018851802126336605,0.015815595406464794,-0.0346673975328014,1.7951117973098984,False
COMPOSITE_S_FREE,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_5,74,0.019312110579827364,-0.007128698820537742,0.015815595406464794,-0.022944294227002535,1.1880780265917286,False
PETER_NOLOSS_LCONST,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_10,203,0.006936932607242753,0.009627990827606655,-0.026955149044072497,0.03658313987167915,5.273676701642339,False
COMPOSITE_S_FREE,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_10,203,0.006936932607242753,-0.0012383010285002228,-0.026955149044072497,0.025716848015572273,3.70723624858654,False
PETER_NOLOSS_LCONST,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_15,269,0.006371219705925663,0.04021937611276832,0.010362759487928565,0.029856616624839752,4.686169682246413,False
COMPOSITE_S_FREE,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_15,269,0.006371219705925663,0.03495704132769568,0.010362759487928565,0.024594281839767113,3.860215621962114,False
PETER_NOLOSS_LCONST,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_50,27,0.02708800827015334,-0.03661218060494478,0.0018869778588586706,-0.03849915846380345,1.421262061050955,False
COMPOSITE_S_FREE,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_50,27,0.02708800827015334,-0.02425145779652979,0.0018869778588586706,-0.02613843565538846,0.9649449082673547,True
PETER_NOLOSS_LCONST,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_51,38,0.009605405550494663,-0.023572069560918663,0.015931676229546124,-0.039503745790464784,4.112657772001142,False
COMPOSITE_S_FREE,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_51,38,0.009605405550494663,-0.011045918043799428,0.015931676229546124,-0.02697759427334555,2.8085846174351534,False
PETER_NOLOSS_LCONST,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_56,36,0.04456361497142021,-0.0686080259690258,-0.024523181300671413,-0.044084844668354384,0.9892564751900654,True
COMPOSITE_S_FREE,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_56,36,0.04456361497142021,-0.055332344891491345,-0.024523181300671413,-0.03080916359081993,0.6913524320362843,True
PETER_NOLOSS_LCONST,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_57,85,0.0038350553877342657,-0.028272634188456207,0.01250157477839952,-0.04077420896685573,10.631973946781757,False
COMPOSITE_S_FREE,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_57,85,0.0038350553877342657,-0.015526127295952602,0.01250157477839952,-0.028027702074352123,7.308291338892701,False
PETER_NOLOSS_LCONST,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_63,28,0.005608021996594319,-0.026801142719534196,0.012087859235923162,-0.03888900195545736,6.934530923572368,False
COMPOSITE_S_FREE,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_63,28,0.005608021996594319,-0.014362755587047745,0.012087859235923162,-0.026450614822970907,4.716567595318641,False
PETER_NOLOSS_LCONST,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_64,53,0.0032152294240378886,-0.04767547227342013,-0.01086547124752474,-0.03681000102589539,11.448639014900237,False
COMPOSITE_S_FREE,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_64,53,0.0032152294240378886,-0.035587028152598996,-0.01086547124752474,-0.024721556905074257,7.688893588821218,False
PETER_NOLOSS_LCONST,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_65,35,0.005972385432563947,-0.036131638819207404,0.000636896176298208,-0.036768534995505614,6.156423661980716,False
COMPOSITE_S_FREE,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_65,35,0.005972385432563947,-0.024044723589419184,0.000636896176298208,-0.02468161976571739,4.13262339552683,False
PETER_NOLOSS_LCONST,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_150,173,0.015025722885243507,-0.02071602425656601,0.010787033067677821,-0.031503057324243834,2.0966084337401445,False
COMPOSITE_S_FREE,FLAT_LCDM,PantheonPlusSH0ES,IDSURVEY_150,173,0.015025722885243507,-0.00952442974192965,0.010787033067677821,-0.020311462809607474,1.351779409532103,False
PETER_NOLOSS_LCONST,FLAT_LCDM,DES_Dovekie_raw,IDSURVEY_10,1623,0.011766741997148049,0.007208683404479994,-0.002974668443898707,0.0101833518483787,0.8654351264646475,True
COMPOSITE_S_FREE,FLAT_LCDM,DES_Dovekie_raw,IDSURVEY_10,1623,0.011766741997148049,0.0034959723844605844,-0.002974668443898707,0.0064706408283592915,0.5499092977416864,True
