model,family,branch,p_mode,gamma_c,p,p_shift_from_SN_sigma,q_c0_over_H0rd,chi2_data,chi2_SN_prior,posterior_objective,N,N_fitted_BAO_parameters,BIC_data_only,goodness_upper_tail,optimisation_success,at_p_bound,Omega_m,delta_BIC_vs_LCDM
PLAMB_stationary_path_fixed_sn,PLAMB,stationary_path,fixed_sn,2.3,0.8004694772058842,0.0,7.586099599961065,33458.051670260524,0.0,33458.051670260524,13,1,33460.616619617984,0.0,True,False,,33445.21567947762
PLAMB_stationary_path_sn_gaussian_prior,PLAMB,stationary_path,sn_gaussian_prior,2.3,2.2802558541892965,62.59534023589857,25.545705478832385,695.6475410656149,3918.176619247902,4613.8241603135175,13,2,700.777439780538,4.62332669405494e-142,True,False,,685.3764996401696
PLAMB_stationary_path_free_bao,PLAMB,stationary_path,free_bao,2.3,2.5,71.89057351133104,28.76296238308825,33.13410288327331,0.0,33.13410288327331,13,2,38.26400159819638,0.0005004694394605127,True,True,,22.86306145782809
PLAMB_metric_duality_control_fixed_sn,PLAMB,metric_duality_control,fixed_sn,2.3,0.8004694772058842,0.0,29.405082647015103,176.07027495921244,0.0,176.07027495921244,13,1,178.63522431667397,2.7290507393958416e-31,True,False,,163.23428417630566
PLAMB_metric_duality_control_sn_gaussian_prior,PLAMB,metric_duality_control,sn_gaussian_prior,2.3,0.8785383383320978,3.3023326880371955,30.960209631620625,26.413060658993928,10.905401182478968,37.318461841472896,13,2,31.542959373917,0.005630959771472243,True,False,,16.14201923354871
PLAMB_metric_duality_control_free_bao,PLAMB,metric_duality_control,free_bao,2.3,0.8853164963243179,3.589050495617366,31.09501990619712,25.4669175560873,0.0,25.4669175560873,13,2,30.596816271010372,0.0077843313965291604,True,False,,15.19587613064208
LCDM_flat_Omega_m_free,LCDM,flat_metric,not_applicable,,,,29.524633450663124,10.271041425445219,0.0,10.271041425445219,13,2,15.400940140368292,0.506184284656087,True,False,0.29746182078985123,0.0
