split,model,n_chains,n_saved_per_chain,n_global_params,n_galaxies,mean_accept_global,mean_accept_galaxy,max_global_rhat,median_global_rhat,complete
all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,3,1500,4,157,0.0742638888888889,0.680082443019943,1.0542426484446787,1.033003788963713,True
all_Q2,RAR,5,3000,3,157,0.2282604166666667,0.6809997080679405,1.0307085475591204,1.0245004719013704,True
