split,model,p_median,p_q16,p_q84,p_q05,p_q95,p_half_inside_68,p_half_inside_90,kappa_median,kappa_q16,kappa_q84,kappa_q05,kappa_q95,kappa_one_inside_68,kappa_one_inside_90
all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,0.5192956846850858,0.5143693688059365,0.5237441625811405,0.5108278439621773,0.5269126982811964,False,False,0.7897556429490967,0.7685772392368029,0.8172896222026569,0.752505340889252,0.8360449840376031,False,False
all_Q2,RAR,,,,,,,,,,,,,,
