parameter,mean,sd,q05,q16,median,q84,q95,rhat
log_ydisk,-0.5848162203585632,0.02808650170717682,-0.6323190065354524,-0.611984573416222,-0.5843979997951884,-0.5571145922231596,-0.5395419660447589,1.0245004719013704
log_ybul,-0.5046032738272296,0.031138238605462647,-0.5577747855324318,-0.5353883110411801,-0.5036589344439395,-0.473468974705606,-0.4541927038455278,1.0307085475591204
log10_gdagger,-10.04984101580487,0.007794881193227385,-10.062464721705942,-10.057539029379816,-10.049870777661344,-10.042162395640187,-10.037076160037207,1.0012305010607854
ydisk,0.5574276913812443,0.015619895064092332,0.5313581481222307,0.5422736186788836,0.5574413406432718,0.5728596150403574,0.583015232008372,
ybul,0.604037395351824,0.018774619265974863,0.5724815417723654,0.5854419125048254,0.6043154588991912,0.622837907450029,0.6349603621525098,
