split,model,parameter,mean,sd,q05,q16,median,q84,q95,rhat
all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,log_ydisk,-0.5472895540685584,0.02350636651173096,-0.5823708525305016,-0.5698959098991253,-0.5490893084507711,-0.5251710365439571,-0.5021079951341472,1.051862057946492
all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,ydisk,0.5786760786170085,0.013673487702692297,0.5585725024601315,0.5655843073649021,0.5774754730191265,0.5914541959028334,0.6052534426898408,
all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,log_ybul,-0.5148970074219621,0.02407427486460264,-0.5517788526455992,-0.540680155665292,-0.515173357200952,-0.4894114224025404,-0.47386059615768894,1.0542426484446787
all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,ybul,0.5977355128005998,0.014419471878935778,0.5759244139688631,0.5823520276278554,0.5973970225653272,0.6129870784905842,0.6225940390307676,
all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,log10_kappa,-0.10143627756650032,0.013549106874989416,-0.12349041332813997,-0.114312480944042,-0.10250726266656679,-0.0876240156648913,-0.07777035460789648,1.014145519980934
all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,kappa,0.7920917777755102,0.024801098387214626,0.752505340889252,0.7685772392368029,0.7897556429490967,0.8172896222026569,0.8360449840376031,
all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,bridge_exponent,0.5191514165189991,0.004890061965982973,0.5108278439621773,0.5143693688059365,0.5192956846850858,0.5237441625811405,0.5269126982811964,1.0003515784858936
all_Q2,PLAMB_OPTICAL_DEPTH_KAPPA_P,logpost,-11439.799934504133,12.572132920139312,-11461.23415298726,-11452.23779933219,-11439.435074524376,-11427.34721831805,-11419.567731518611,
all_Q2,RAR,log_ydisk,-0.5940582585789408,0.028216253447490947,-0.6409146361775986,-0.6192252976382813,-0.5948582732105574,-0.5650216127002606,-0.54717707465205,1.2996373480725387
all_Q2,RAR,ydisk,0.5523017129759166,0.01555580006980028,0.5268103640711087,0.5383613459643448,0.5516407425992047,0.5683478630927906,0.5785807976819549,
all_Q2,RAR,log_ybul,-0.513746628021964,0.030725301137738137,-0.5677362459754053,-0.540230754170556,-0.5152275810499504,-0.48348999599542997,-0.46002162303253463,1.289021412622248
all_Q2,RAR,ybul,0.5985322292280931,0.01838335926317914,0.5668071007102781,0.5826137966059947,0.5973646302776089,0.6166276042829056,0.6312699953876996,
all_Q2,RAR,log10_gdagger,-10.051487971939311,0.007845638326816336,-10.064765810903765,-10.058998276219494,-10.051419077246129,-10.043908848639239,-10.038910053230886,1.0125785648020478
all_Q2,RAR,logpost,-11448.146480496851,12.664150687863495,-11469.535923070182,-11460.930196488542,-11447.818217355205,-11435.342158487276,-11428.500284959591,
