analysis_variant,evidence_status,N,N_release_intercepts,FR_chi2,LCDM_chi2,LCDM_Omega_m,FR_BIC,LCDM_BIC,delta_BIC_FR_minus_LCDM,nuisance_signature,FR_nuisance_signature,LCDM_nuisance_signature,same_nuisance_verified,optimisation_success
released_total_primary,primary,3422,3,3150.1454807797254,3047.6625171859346,0.3306796417545181,3174.559422143082,3080.2144390037433,94.34498313933864,cd2a1ff73fad299cc85f214fad4f4dac1318cfb3b06b0bffeaf027bf8cc5b85f,cd2a1ff73fad299cc85f214fad4f4dac1318cfb3b06b0bffeaf027bf8cc5b85f,cd2a1ff73fad299cc85f214fad4f4dac1318cfb3b06b0bffeaf027bf8cc5b85f,True,True
pantheon_calib_statonly_grouped,covariance_reconstruction_sensitivity,3422,3,3232.11810085285,3125.8554494694063,0.33622062970791294,3256.5320422162067,3158.407371287215,98.12467092899169,8554f4388d71e43fdaa3cc7e2d7209d11a54eae492d66e645c6ccaafc082759b,8554f4388d71e43fdaa3cc7e2d7209d11a54eae492d66e645c6ccaafc082759b,8554f4388d71e43fdaa3cc7e2d7209d11a54eae492d66e645c6ccaafc082759b,True,True
pantheon_calib_csp_recal_hstcalspec_statonly_grouped,covariance_reconstruction_sensitivity,3422,3,3229.990560880672,3125.251758599964,0.335700210896154,3254.4045022440287,3157.8036804177727,96.60082182625592,4bd84bcf384859721730052a951fa184870ef3de06f55e9492feeae7248e8654,4bd84bcf384859721730052a951fa184870ef3de06f55e9492feeae7248e8654,4bd84bcf384859721730052a951fa184870ef3de06f55e9492feeae7248e8654,True,True
des_allsys_statonly_grouped,covariance_reconstruction_sensitivity,3422,3,3192.076681632626,3097.5755762613926,0.32654990706696535,3216.4906229959824,3130.1274980792014,86.36312491678109,7813a2efaab8df8de2559758c647943890ea2ad1e704450ce5fec754292010ce,7813a2efaab8df8de2559758c647943890ea2ad1e704450ce5fec754292010ce,7813a2efaab8df8de2559758c647943890ea2ad1e704450ce5fec754292010ce,True,True
combined_calib_des_statonly_grouped,covariance_reconstruction_sensitivity,3422,3,3274.0493017057506,3176.209292513023,0.3323510213783238,3298.463243069107,3208.7612143308315,89.70202873827566,466f439cd622a56a4eb9c68b8e16c8c0f9c4710d44957ffe22981ca87271d2f3,466f439cd622a56a4eb9c68b8e16c8c0f9c4710d44957ffe22981ca87271d2f3,466f439cd622a56a4eb9c68b8e16c8c0f9c4710d44957ffe22981ca87271d2f3,True,True
