dataset,level,group,N,component_kind,covariance_role,budget_kind,sigma_projected_mag,projected_variance_raw_mag2,sigma_documented_mag,sigma_included_mag,sigma_add_mag,sigma_hierarchy_mag,additive_prior,prior_action,explicit_base,explicit_prior_role,source_path,note
PantheonPlusSH0ES,survey,IDSURVEY_1,321,HSTCALSPEC,contained_in_STAT+SYS,calibration_component_control,0.0008738317757009346,7.635819722246485e-07,,0.0008738317757009346,0.0,0.0008738317757009346,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_HSTCALSPEC.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_1,321,CALIB+CSP_RECAL+HSTCALSPEC,contained_in_STAT+SYS,aggregate_calibration_component_control,0.00819168417355587,6.710368959928573e-05,,0.00819168417355587,0.0,0.00819168417355587,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_10,203,CALIB,contained_in_STAT+SYS,primary_calibration_component,0.006936932607242753,4.8121033997427746e-05,,0.006936932607242753,0.0,0.006936932607242753,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_10,203,CSP_RECAL,contained_in_STAT+SYS,calibration_component_control,0.0010071229489145737,1.014296634230387e-06,,0.0010071229489145737,0.0,0.0010071229489145737,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CSP_RECAL.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_10,203,HSTCALSPEC,contained_in_STAT+SYS,calibration_component_control,0.0035482758620689657,1.2590261593341262e-05,,0.0035482758620689657,0.0,0.0035482758620689657,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_HSTCALSPEC.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_10,203,CALIB+CSP_RECAL+HSTCALSPEC,contained_in_STAT+SYS,aggregate_calibration_component_control,0.007856563639721847,6.17255922249994e-05,,0.007856563639721847,0.0,0.007856563639721847,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_15,269,CALIB,contained_in_STAT+SYS,primary_calibration_component,0.006371219705925663,4.059244054117549e-05,,0.006371219705925663,0.0,0.006371219705925663,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_15,269,CSP_RECAL,contained_in_STAT+SYS,calibration_component_control,0.0010007144944068362,1.0014294993159298e-06,,0.0010007144944068362,0.0,0.0010007144944068362,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CSP_RECAL.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_15,269,HSTCALSPEC,contained_in_STAT+SYS,calibration_component_control,0.002453531598513011,6.019817304901812e-06,,0.002453531598513011,0.0,0.002453531598513011,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_HSTCALSPEC.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_15,269,CALIB+CSP_RECAL+HSTCALSPEC,contained_in_STAT+SYS,aggregate_calibration_component_control,0.006900267193768169,4.7613687345393235e-05,,0.006900267193768169,0.0,0.006900267193768169,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_150,173,CALIB,contained_in_STAT+SYS,primary_calibration_component,0.015025722885243507,0.00022577234822413045,,0.015025722885243507,0.0,0.015025722885243507,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_150,173,CSP_RECAL,contained_in_STAT+SYS,calibration_component_control,0.0010679690947009944,1.1405579872364614e-06,,0.0010679690947009944,0.0,0.0010679690947009944,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CSP_RECAL.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_150,173,HSTCALSPEC,contained_in_STAT+SYS,calibration_component_control,0.0002982658959537586,8.896254468909833e-08,,0.0002982658959537586,0.0,0.0002982658959537586,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_HSTCALSPEC.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_150,173,CALIB+CSP_RECAL+HSTCALSPEC,contained_in_STAT+SYS,aggregate_calibration_component_control,0.01506658119003963,0.000227001868756056,,0.01506658119003963,0.0,0.01506658119003963,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_4,160,CALIB,contained_in_STAT+SYS,primary_calibration_component,0.018936388261509243,0.000358586800390625,,0.018936388261509243,0.0,0.018936388261509243,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_4,160,CSP_RECAL,contained_in_STAT+SYS,calibration_component_control,0.0010759666801880992,1.1577042968749995e-06,,0.0010759666801880992,0.0,0.0010759666801880992,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CSP_RECAL.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_4,160,HSTCALSPEC,contained_in_STAT+SYS,calibration_component_control,0.017394375,0.000302564281640625,,0.017394375,0.0,0.017394375,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_HSTCALSPEC.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_4,160,CALIB+CSP_RECAL+HSTCALSPEC,contained_in_STAT+SYS,aggregate_calibration_component_control,0.02573536062168403,0.000662308786328125,,0.02573536062168403,0.0,0.02573536062168403,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_5,74,CALIB,contained_in_STAT+SYS,primary_calibration_component,0.019312110579827364,0.00037295761504747995,,0.019312110579827364,0.0,0.019312110579827364,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_5,74,CSP_RECAL,contained_in_STAT+SYS,calibration_component_control,0.013524319463347366,0.0001829072169466764,,0.013524319463347366,0.0,0.013524319463347366,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CSP_RECAL.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_5,74,HSTCALSPEC,contained_in_STAT+SYS,calibration_component_control,0.0011797297297297283,1.3917622352081775e-06,,0.0011797297297297283,0.0,0.0011797297297297283,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_HSTCALSPEC.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_5,74,CALIB+CSP_RECAL+HSTCALSPEC,contained_in_STAT+SYS,aggregate_calibration_component_control,0.02360628293970409,0.0005572565942293645,,0.02360628293970409,0.0,0.02360628293970409,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
PantheonPlusSH0ES,survey,IDSURVEY_50,27,CALIB,contained_in_STAT+SYS,primary_calibration_component,0.02708800827015334,0.0007337601920438958,,0.02708800827015334,0.0,0.02708800827015334,False,covariance_contained,STATONLY,component_replacement_sensitivity,C:\Users\clive\Documents\Cosmology\external_datasets\current_cosmology_sources\PantheonPlusSH0ES\Pantheon+SH0ES_122221_CALIB.cov,Grouping increment is release grouping covariance minus STATONLY.
