# z_mid A_par_signed
0.35000 3.00000000e-03
0.45000 -4.48300000e-03
0.55000 -1.89700000e-03
0.65000 2.56000000e-03
0.75000 5.80900000e-04
0.85000 -3.41400000e-03
0.95000 6.87700000e-04
1.05000 1.79200000e-03
1.15000 -4.00700000e-04
1.25000 3.93100000e-03
1.35000 2.94200000e-03
1.45000 -3.29300000e-03
1.55000 1.72100000e-03
1.65000 1.14500000e-03
1.75000 4.78100000e-04
1.85000 -3.13600000e-03
1.95000 6.89400000e-04
2.05000 -5.54300000e-03
2.15000 -4.81300000e-03
2.25000 -5.97700000e-04
2.35000 -9.55900000e-04
2.45000 -6.08800000e-03
