# Monte Carlo summary for <z> dipole vs z (pixel shuffling)
# bcut  tag            z_mid   N_good   A_obs      A_par_obs   f_par_obs   p_A    p_|A_par|  p_|f_par|
20.0  z2p00_2p10     2.05      35  8.732e-03  -5.543e-03  -0.635  0.395  0.260  0.341
20.0  z2p10_2p20     2.15      17  1.816e-02  -4.813e-03  -0.265  0.357  0.572  0.674
20.0  z2p20_2p30     2.25      17  5.323e-03  -5.977e-04  -0.112  0.926  0.933  0.849
20.0  z2p30_2p40     2.35      21  7.922e-03  -9.559e-04  -0.121  0.581  0.862  0.873
20.0  z2p40_2p50     2.45      16  7.409e-03  -6.088e-03  -0.822  0.745  0.342  0.156
25.0  z0p30_0p40     0.35       8  1.194e-02  1.378e-03  +0.115  0.567  0.889  0.916
25.0  z0p40_0p50     0.45      12  1.784e-02  -4.436e-03  -0.249  0.471  0.626  0.662
25.0  z0p50_0p60     0.55      21  5.957e-03  1.447e-03  +0.243  0.881  0.858  0.826
25.0  z0p60_0p70     0.65      23  1.032e-02  1.733e-03  +0.168  0.633  0.814  0.803
25.0  z0p70_0p80     0.75      45  5.683e-03  1.392e-03  +0.245  0.655  0.748  0.729
25.0  z0p80_0p90     0.85      73  4.978e-03  -3.415e-03  -0.686  0.489  0.289  0.324
25.0  z0p90_1p00     0.95     134  3.014e-03  6.730e-04  +0.223  0.569  0.735  0.765
25.0  z1p00_1p10     1.05     112  2.774e-03  1.518e-03  +0.547  0.750  0.559  0.456
25.0  z1p10_1p20     1.15     169  3.624e-03  -4.265e-04  -0.118  0.387  0.825  0.873
25.0  z1p20_1p30     1.25     142  4.522e-03  2.321e-03  +0.513  0.252  0.323  0.512
25.0  z1p30_1p40     1.35     223  3.048e-03  2.575e-03  +0.845  0.414  0.141  0.133
25.0  z1p40_1p50     1.45     277  3.463e-03  -3.096e-03  -0.894  0.226  0.058  0.100
25.0  z1p50_1p60     1.55     197  2.068e-03  1.358e-03  +0.657  0.727  0.444  0.290
25.0  z1p60_1p70     1.65     157  2.649e-03  1.446e-03  +0.546  0.690  0.495  0.400
25.0  z1p70_1p80     1.75     107  5.229e-03  1.897e-03  +0.363  0.274  0.433  0.606
25.0  z1p80_1p90     1.85      95  3.908e-03  -1.745e-03  -0.446  0.655  0.524  0.495
25.0  z1p90_2p00     1.95      53  4.343e-03  1.732e-04  +0.040  0.592  0.955  0.958
25.0  z2p00_2p10     2.05      35  8.732e-03  -5.543e-03  -0.635  0.391  0.239  0.311
25.0  z2p10_2p20     2.15      16  1.811e-02  7.228e-04  +0.040  0.373  0.932  0.956
25.0  z2p20_2p30     2.25      17  5.323e-03  -5.977e-04  -0.112  0.932  0.920  0.839
25.0  z2p30_2p40     2.35      18  6.087e-03  4.674e-03  +0.768  0.828  0.490  0.208
25.0  z2p40_2p50     2.45      16  7.409e-03  -6.088e-03  -0.822  0.746  0.338  0.141
30.0  z0p30_0p40     0.35       6  7.850e-03  -5.168e-03  -0.658  0.775  0.547  0.448
30.0  z0p40_0p50     0.45      10  2.509e-02  -6.916e-03  -0.276  0.343  0.587  0.683
30.0  z0p50_0p60     0.55      21  5.957e-03  1.447e-03  +0.243  0.887  0.865  0.817
30.0  z0p60_0p70     0.65      21  8.887e-03  5.602e-03  +0.630  0.807  0.530  0.329
30.0  z0p70_0p80     0.75      40  4.411e-03  1.398e-03  +0.317  0.831  0.775  0.678
30.0  z0p80_0p90     0.85      65  5.691e-03  -4.442e-03  -0.780  0.436  0.193  0.212
30.0  z0p90_1p00     0.95     130  2.959e-03  1.666e-03  +0.563  0.592  0.446  0.411
30.0  z1p00_1p10     1.05     101  4.376e-03  3.192e-03  +0.729  0.518  0.262  0.241
30.0  z1p10_1p20     1.15     154  3.595e-03  -2.170e-04  -0.060  0.429  0.910  0.935
30.0  z1p20_1p30     1.25     131  6.316e-03  1.422e-03  +0.225  0.084  0.574  0.795
