# z_mid fpar
0.50000 9.50000000e+01
1.00000 3.20000000e+01
5.50000 1.37000000e+02
6.00000 1.50000000e+01
10.50000 1.19000000e+02
11.00000 1.40000000e+01
15.00000 5.00000000e+00
15.50000 1.87000000e+02
16.00000 1.70000000e+01
20.00000 1.00000000e+01
20.50000 2.18000000e+02
21.00000 1.30000000e+01
25.00000 2.00000000e+01
25.50000 1.66000000e+02
30.00000 2.10000000e+01
30.50000 1.32000000e+02
35.00000 3.70000000e+01
35.50000 8.80000000e+01
40.00000 5.90000000e+01
40.50000 8.30000000e+01
45.00000 1.21000000e+02
45.50000 4.60000000e+01
