# z_mid fpar
0.50000 1.01000000e+02
1.00000 3.40000000e+01
5.50000 1.54000000e+02
6.00000 1.50000000e+01
10.50000 1.31000000e+02
11.00000 1.50000000e+01
15.00000 6.00000000e+00
15.50000 2.06000000e+02
16.00000 1.70000000e+01
20.00000 1.00000000e+01
20.50000 2.48000000e+02
21.00000 1.50000000e+01
25.00000 2.10000000e+01
25.50000 1.84000000e+02
30.00000 2.10000000e+01
30.50000 1.43000000e+02
35.00000 4.00000000e+01
35.50000 1.00000000e+02
40.00000 6.50000000e+01
40.50000 9.20000000e+01
45.00000 1.30000000e+02
45.50000 5.00000000e+01
