# z_mid A_par_signed
0.35000 3.00000000e-03
0.45000 -4.48300000e-03
0.55000 -2.17100000e-03
0.65000 2.07600000e-03
0.75000 2.95600000e-04
0.85000 -4.28400000e-03
0.95000 1.45900000e-05
1.05000 8.07500000e-04
1.15000 -9.42600000e-04
1.25000 3.55600000e-03
1.35000 3.01100000e-03
1.45000 -3.19300000e-03
1.55000 1.37300000e-03
1.65000 1.10700000e-03
1.75000 8.16700000e-04
1.85000 -3.43500000e-03
1.95000 -4.62100000e-04
2.05000 -4.91400000e-03
2.15000 -4.41900000e-03
2.25000 -5.97700000e-04
2.35000 -3.06300000e-03
2.45000 -1.03100000e-02
