# z_mid A_par_signed
0.35000 1.37800000e-03
0.45000 -4.43600000e-03
0.55000 1.44700000e-03
0.65000 1.73300000e-03
0.75000 1.39200000e-03
0.85000 -3.41500000e-03
0.95000 6.73000000e-04
1.05000 1.51800000e-03
1.15000 -4.26500000e-04
1.25000 2.32100000e-03
1.35000 2.57500000e-03
1.45000 -3.09600000e-03
1.55000 1.35800000e-03
1.65000 1.44600000e-03
1.75000 1.89700000e-03
1.85000 -1.74500000e-03
1.95000 1.73200000e-04
2.05000 -5.54300000e-03
2.15000 7.22800000e-04
2.25000 -5.97700000e-04
2.35000 4.67400000e-03
2.45000 -6.08800000e-03
