# z_mid A_par_signed
0.35000 3.00000000e-03
0.45000 -4.48300000e-03
0.55000 -2.17100000e-03
0.65000 1.28700000e-03
0.75000 9.49600000e-04
0.85000 -4.64300000e-03
0.95000 2.69800000e-04
1.05000 8.07500000e-04
1.15000 -8.71600000e-04
1.25000 3.60900000e-03
1.35000 2.73400000e-03
1.45000 -3.04000000e-03
1.55000 1.23200000e-03
1.65000 1.11500000e-03
1.75000 7.64000000e-05
1.85000 -2.67400000e-03
1.95000 -4.62100000e-04
2.05000 -4.91400000e-03
2.15000 -4.41900000e-03
2.25000 -5.97700000e-04
2.35000 -3.06100000e-03
2.45000 -1.03100000e-02
