# z_mid A_par_signed
0.35000 -5.16800000e-03
0.45000 -6.91600000e-03
0.55000 1.44700000e-03
0.65000 5.60200000e-03
0.75000 1.39800000e-03
0.85000 -4.44200000e-03
0.95000 1.66600000e-03
1.05000 3.19200000e-03
1.15000 -2.17000000e-04
1.25000 1.42200000e-03
1.35000 3.63800000e-03
1.45000 -1.87700000e-03
1.55000 1.26600000e-03
1.65000 2.34600000e-03
1.75000 -2.10700000e-05
1.85000 -1.51600000e-03
1.95000 3.23700000e-04
2.05000 -8.46500000e-03
2.15000 8.77200000e-04
2.25000 -2.58100000e-03
2.35000 -1.01600000e-03
2.45000 -7.65800000e-03
