direction_label,bcut_deg,control,projection_correlation
locked_b25,25.0,gaia_scan_count_log1p_dr3,0.016986712224756697
locked_b25,25.0,gaia_scan_angle_cos2_mean_dr3,-0.013633994695097787
locked_b25,25.0,gaia_scan_angle_sin2_mean_dr3,-0.40039262084292826
locked_b25,25.0,gaia_scan_angle_resultant_dr3,-0.0071585698279345
locked_b25,25.0,bp_rp_z,0.014677377432530229
locked_b25,25.0,w1_w2_z,0.007027719961232577
locked_b25,25.0,bp_rp_x_w1_w2_z,-0.0012982243881826212
cmb,25.0,gaia_scan_count_log1p_dr3,-0.01218481215424778
cmb,25.0,gaia_scan_angle_cos2_mean_dr3,0.016493389329487913
cmb,25.0,gaia_scan_angle_sin2_mean_dr3,0.6734859101173764
cmb,25.0,gaia_scan_angle_resultant_dr3,0.013033238503211359
cmb,25.0,bp_rp_z,-0.030751749348311222
cmb,25.0,w1_w2_z,-0.00972294783055755
cmb,25.0,bp_rp_x_w1_w2_z,0.006655241059075785
anti_cmb,25.0,gaia_scan_count_log1p_dr3,0.01218481215424778
anti_cmb,25.0,gaia_scan_angle_cos2_mean_dr3,-0.016493389329487913
anti_cmb,25.0,gaia_scan_angle_sin2_mean_dr3,-0.6734859101173764
anti_cmb,25.0,gaia_scan_angle_resultant_dr3,-0.013033238503211359
anti_cmb,25.0,bp_rp_z,0.030751749348311222
anti_cmb,25.0,w1_w2_z,0.00972294783055755
anti_cmb,25.0,bp_rp_x_w1_w2_z,-0.006655241059075785
locked_b15,30.0,gaia_scan_count_log1p_dr3,0.016074994871267713
locked_b15,30.0,gaia_scan_angle_cos2_mean_dr3,-0.015352257317609306
locked_b15,30.0,gaia_scan_angle_sin2_mean_dr3,-0.46336124711321813
locked_b15,30.0,gaia_scan_angle_resultant_dr3,-0.008881914635158987
locked_b15,30.0,bp_rp_z,0.023051463459614265
locked_b15,30.0,w1_w2_z,0.008992330532194276
locked_b15,30.0,bp_rp_x_w1_w2_z,-0.002059716824656313
locked_b25,30.0,gaia_scan_count_log1p_dr3,0.015197650561661637
locked_b25,30.0,gaia_scan_angle_cos2_mean_dr3,-0.01409001795972952
locked_b25,30.0,gaia_scan_angle_sin2_mean_dr3,-0.4099214070784986
locked_b25,30.0,gaia_scan_angle_resultant_dr3,-0.006877248264115034
locked_b25,30.0,bp_rp_z,0.02001309573288249
locked_b25,30.0,w1_w2_z,0.008144122511249251
locked_b25,30.0,bp_rp_x_w1_w2_z,-0.001542864967858318
cmb,30.0,gaia_scan_count_log1p_dr3,-0.012383110495973947
cmb,30.0,gaia_scan_angle_cos2_mean_dr3,0.013363606273138009
cmb,30.0,gaia_scan_angle_sin2_mean_dr3,0.6731954603862426
cmb,30.0,gaia_scan_angle_resultant_dr3,0.009885687112520414
cmb,30.0,bp_rp_z,-0.030077462181799026
cmb,30.0,w1_w2_z,-0.009641192272402172
cmb,30.0,bp_rp_x_w1_w2_z,0.006439960060146999
anti_cmb,30.0,gaia_scan_count_log1p_dr3,0.012383110495973947
anti_cmb,30.0,gaia_scan_angle_cos2_mean_dr3,-0.013363606273138009
anti_cmb,30.0,gaia_scan_angle_sin2_mean_dr3,-0.6731954603862426
anti_cmb,30.0,gaia_scan_angle_resultant_dr3,-0.009885687112520414
anti_cmb,30.0,bp_rp_z,0.030077462181799026
anti_cmb,30.0,w1_w2_z,0.009641192272402172
anti_cmb,30.0,bp_rp_x_w1_w2_z,-0.006439960060146999
locked_b15,35.0,gaia_scan_count_log1p_dr3,0.015209367378627546
locked_b15,35.0,gaia_scan_angle_cos2_mean_dr3,-0.012589163710204078
locked_b15,35.0,gaia_scan_angle_sin2_mean_dr3,-0.4742162392388668
locked_b15,35.0,gaia_scan_angle_resultant_dr3,-0.005406757596043064
locked_b15,35.0,bp_rp_z,0.024804301737257787
locked_b15,35.0,w1_w2_z,0.009173732610955445
locked_b15,35.0,bp_rp_x_w1_w2_z,-0.005189368890320651
locked_b25,35.0,gaia_scan_count_log1p_dr3,0.01416206311533854
locked_b25,35.0,gaia_scan_angle_cos2_mean_dr3,-0.011638230224301875
locked_b25,35.0,gaia_scan_angle_sin2_mean_dr3,-0.42207644388604104
locked_b25,35.0,gaia_scan_angle_resultant_dr3,-0.003759190171881218
locked_b25,35.0,bp_rp_z,0.021601289904433663
locked_b25,35.0,w1_w2_z,0.008406965682846351
locked_b25,35.0,bp_rp_x_w1_w2_z,-0.004578491921182252
cmb,35.0,gaia_scan_count_log1p_dr3,-0.013343842382097923
cmb,35.0,gaia_scan_angle_cos2_mean_dr3,0.011739164395769964
cmb,35.0,gaia_scan_angle_sin2_mean_dr3,0.6672537543957129
cmb,35.0,gaia_scan_angle_resultant_dr3,0.007741098441379044
cmb,35.0,bp_rp_z,-0.030207967897746258
cmb,35.0,w1_w2_z,-0.008827395887773516
cmb,35.0,bp_rp_x_w1_w2_z,0.008521300378835832
anti_cmb,35.0,gaia_scan_count_log1p_dr3,0.013343842382097923
anti_cmb,35.0,gaia_scan_angle_cos2_mean_dr3,-0.011739164395769964
anti_cmb,35.0,gaia_scan_angle_sin2_mean_dr3,-0.6672537543957129
anti_cmb,35.0,gaia_scan_angle_resultant_dr3,-0.007741098441379044
anti_cmb,35.0,bp_rp_z,0.030207967897746258
anti_cmb,35.0,w1_w2_z,0.008827395887773516
anti_cmb,35.0,bp_rp_x_w1_w2_z,-0.008521300378835832
