bcut_deg,N,residual_snr,residual_amp,residual_l_deg,residual_b_deg,control_r2_z,canonical_corr,condition_number
10.0,194552,5.75358771263192,0.003353362558139072,222.6574201201488,-4.640678889173294,0.1359744102979582,0.6102024680913366,2.6727386385242666
15.0,185739,5.682284132621668,0.0034602779939965165,219.601730572896,-4.551705888538826,0.13849677609824151,0.6378515398170741,2.7347606254199754
20.0,172054,4.582772820750264,0.0029722226104244025,223.91051430341085,-5.6126983149031675,0.13985732070246393,0.6642913771051835,2.8111519995043626
25.0,155609,4.291844819853535,0.003050138040116394,227.50004624748883,-3.9567867829804872,0.14113621399852117,0.6844383457856974,2.9227971897238323
30.0,137850,2.9820986362545763,0.0023678659311708455,233.61708113692367,-3.7010058775848207,0.14178566589177832,0.6975058135819372,3.0889191849241096
35.0,119719,2.790859836960291,0.0025264933379989716,233.0208413736689,-4.165999671731684,0.1424517379237481,0.7006065660134532,3.218768394135576
