cell_deg,n_cells,n_lon_bins,n_sin_b_bins,n_mocks,observed_family_max_snr,null_max_snr_mean,null_max_snr_p95,null_max_snr_p99,family_p,monte_carlo_floor,occupied_cells_b10,occupied_cells_b15,occupied_cells_b20,occupied_cells_b25,occupied_cells_b30,occupied_cells_b35
8.0,910,45,22,50000,5.75358771263192,3.1474063838505453,4.973439622360853,5.916504265433481,0.013519729605407892,1.999960000799984e-05,886,809,720,630,540,450
12.0,424,30,15,50000,5.75358771263192,3.9197557127572717,6.293487364847247,7.51404252409466,0.09229815403691927,1.999960000799984e-05,419,360,300,300,240,240
16.0,231,22,11,50000,5.75358771263192,4.654543464288221,7.598531472545451,9.140242950133882,0.23259534809303814,1.999960000799984e-05,220,220,176,176,132,132
