amp_scale,n_trials,raw_pass_rate,matched_pass_rate,scanlaw_strict_physical_rate,scanlaw_loose_physical_rate,scanlaw_bic_accept_rate,scanlaw_colour_pass_rate,strict_physical_bic_rejected_rate,matched_to_strict_physical_loss_rate,high_snr_rate,amp_too_high_rate,amp_too_low_rate,sep_too_high_rate,delta_bic_p05,delta_bic_p50,delta_bic_p95,scanlaw_snr_p50,scanlaw_sep_deg_p50,scanlaw_amp_ratio_p50
0.25,20000.0,0.0,0.0,0.0,0.0,0.05295,0.0,0.0,0.0,0.5124,0.8924,0.00545,0.8212,-10.804493383118825,26.466910110029858,35.079024762068,3.056969133097039,55.791850205995104,3.2696259662142593
0.5,20000.0,0.00845,0.02375,0.00515,0.1989,0.0798,0.0,0.00515,0.02235,0.6091,0.6683,0.01795,0.6986,-18.35821447759663,23.221623527017073,34.45567114221194,3.5456184370405706,42.34442267754308,1.9018004155516184
1.0,20000.0,0.2938,0.5012,0.28335,0.73445,0.2331,0.0011,0.28225,0.2491,0.83045,0.3827,0.03125,0.43565,-40.746120536221135,9.744629548615194,32.09278847273381,5.099009059002775,27.05522910828205,1.3465798330601166
1.5,20000.0,0.5935,0.80865,0.6278,0.9279,0.5114,0.2694,0.3584,0.20915,0.9452,0.1891,0.0174,0.2045,-70.1692308038022,-11.0205145416694,27.176913768991646,6.835384907682057,19.227041616166325,1.2002158114750587
2.0,20000.0,0.8084,0.9135,0.85955,0.98845,0.7649,0.6538,0.20575,0.0844,0.99065,0.07255,0.00625,0.06865,-109.05520936507237,-38.75470198424591,17.65164125315131,8.632485367634242,14.908027035089418,1.135160615453392
