feature,candidate_mean_robust_z,control_mean_robust_z,standardised_mean_difference,candidate_median_original,control_median_original
T,-1.0,-0.8166666666666668,-0.18333333333333324,2.0,2.5
log_L36,0.8095757161831454,0.7988735467749452,0.010702169408200235,2.1559698959121794,2.049468258651939
log_SBeff,0.8422582741465966,0.9371860042148961,-0.09492773006829947,2.8568273193888345,3.0848308361271526
log_MHI,0.6922576554992014,0.794922708178365,-0.1026650526791636,0.8827507546094828,1.0196784577272324
log_Vflat,0.531425664690617,0.4821679599301789,0.049257704760438115,2.3751349072465393,2.3298045221640695
Inc_deg,0.05128205128205129,0.1987179487179487,-0.1474358974358974,61.5,64.0
frac_distance_error,-0.17325440848482732,-0.3001073979121009,0.12685298942727358,0.24956776764702404,0.24980550546224123
bulge_proxy,1.6043795935950584,1.7538842141622133,-0.14950462056715486,0.3239143573589933,0.31096951774838844
log_n_points,1.0804640930401592,0.8554439095694585,0.22502018347070074,1.6017883874889862,1.5589669175198209
Q,0.3333333333333333,0.25,0.08333333333333331,1.0,1.0
