scenario,model,galaxy,N_points,success,message,optimisation_starts,successful_starts,best_start_index,profile_objective_start_spread,profile_objective,data_objective,prior_objective,logd,distance_pull,distance_multiplier,logeta_disk,disk_ml_multiplier,logeta_bulge,bulge_ml_multiplier,delta_inc_deg,inclination_pull,trial_inclination_deg,logeta_gas,gas_multiplier
baseline,RAR,NGC5033,22,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,5,4.547473508864641e-12,97.17994562322339,97.16599240420351,0.013953219019885806,0.15122998097458612,0.11744204524101357,1.1632641559452168,0.0031680537153504183,1.0031730773011178,0.0031680537153504183,1.0031730773011178,0.0,0.0,66.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC5033,22,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,10,2.8990143619012088e-12,102.78074518615915,102.7666911518732,0.014054034285944862,0.1512108954960731,0.1173782916212999,1.163241954704025,-0.004156102004958641,0.9958525226345483,-0.004156102004958641,0.9958525226345483,0.0,0.0,66.0,0.0,1.0
baseline,RAR,NGC6195,23,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,7,2.77481196662724,123.77864747144494,106.16217899756151,17.616468473883433,-0.2845538068380128,-4.0,0.7523498728071458,0.3178510336898632,1.3741715407157948,0.3178510336898632,1.3741715407157948,0.0,0.0,62.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC6195,23,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,7,3.694822225952521e-13,122.07328101338885,104.49676757117531,17.57651344221354,-0.2845538068380128,-4.0,0.7523498728071458,0.3138982162076526,1.3687504128492518,0.3138982162076526,1.3687504128492518,0.0,0.0,62.0,0.0,1.0
baseline,RAR,NGC6674,15,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,9,5.8690829973784275e-12,67.1205090394316,57.144512993521545,9.975996045910057,-0.1880661882874454,-1.5266552949468835,0.8285598644592514,0.6912542792055929,1.996217778107099,0.6912542792055929,1.996217778107099,0.0,0.0,54.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,NGC6674,15,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,0,3.7061909097246826e-11,64.79808694352622,54.348918599812094,10.449168343714124,-0.2015869554521233,-1.5945242438519336,0.8174324942574847,0.7029696285883615,2.0197416932108543,0.7029696285883615,2.0197416932108543,0.0,0.0,54.0,0.0,1.0
baseline,RAR,UGC02885,19,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,9,5.4932058901613345e-11,41.7277860114553,37.697258660615134,4.030527350840169,-0.029889472104932206,-1.4596164335768622,0.9705528007785106,0.34460550068815377,1.4114330004753581,0.34460550068815377,1.4114330004753581,0.0,0.0,64.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC02885,19,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,2,1.2292389328649733e-12,41.17165763787655,37.16866476499154,4.002992872885008,-0.031082698006689106,-1.471548692594431,0.9693954026936099,0.33888948403283226,1.4033882398334365,0.33888948403283226,1.4033882398334365,0.0,0.0,64.0,0.0,1.0
baseline,RAR,UGC02916,43,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,6,2.7341684472048655e-11,225.96507865934592,224.62387157677517,1.3412070825707403,0.20613501431317224,0.601031626137893,1.2289191144650997,-0.24748334122633137,0.7807632272604814,-0.24748334122633137,0.7807632272604814,0.0,0.0,50.0,0.0,1.0
baseline,PLAMB_OPTICAL_DEPTH_KAPPA_P,UGC02916,43,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,11,11,5,1.2732925824820995e-11,227.98358012919817,226.35754843054178,1.6260316986564016,0.22251814841503814,0.7103639700421818,1.249218490780574,-0.2647421774956618,0.7674037784364404,-0.2647421774956618,0.7674037784364404,0.0,0.0,50.0,0.0,1.0
