parameter,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
log_ydisk,-0.5458217470150635,0.02695847344805809,-0.5947330823919174,-0.4941764976092295,0.0006652417352460353,0.00034147256914408684,1643.767008828757,3231.553256782637,1.0027684956317888
log_ybul,-0.5133450754896847,0.028098492969930465,-0.5678975089189311,-0.463562376474183,0.000722920934639057,0.00035737966128429204,1512.9833158845088,3139.799107447378,1.002492448671037
logd[0],-0.2720662894914479,0.031232855321679666,-0.30952321097932217,-0.21499708391048125,0.00035334191006753665,0.00044144890442652287,5688.006220645599,3248.2486808543563,1.00048013355142
logd[1],-0.1711175483176218,0.15254194524205333,-0.4729326917835953,0.0986099580446565,0.001493149986638742,0.0017255284523786836,10489.012750802609,6059.853885414217,1.0001467934214874
logd[2],-0.027436505358155006,0.0309672710068952,-0.08384589862084155,0.03354387639783565,0.0003458110209473137,0.00045992294127952273,8064.22603930343,3341.745757312373,1.0003871566640155
logd[3],-0.0456247750764644,0.024910878920457322,-0.09419929646949943,-4.094518323881857e-05,0.00028095155197167636,0.00032680084915239583,7813.937974126459,4257.017053949123,1.0009965088711146
logd[4],0.0065895693706749196,0.10080745492290803,-0.18777830490205985,0.19211796964035224,0.0009687581084174522,0.0012401080020673604,10859.119761035368,5795.853402972754,1.0007645358758217
logd[5],-0.018265010144153947,0.0344207697450735,-0.08299914911736347,0.04559639589772811,0.0003865828810703352,0.000440131751355085,7942.748855059227,5203.411950963247,1.0015802062090684
logd[6],-0.4088376043236126,0.028812406083074768,-0.46632718280082047,-0.35796747944199125,0.0003199015138150356,0.0003124811018050497,8097.431624406959,5624.513682092606,1.0000669806147493
logd[7],-0.05487569407597091,0.03766302768733995,-0.12103328205505005,0.02181076177610485,0.0004228476002775402,0.0004552131942268932,8075.271773499389,5616.583130275966,1.0005312673122926
logd[8],-0.3516870513987279,0.05281510534389041,-0.4529097351148683,-0.25372253192723204,0.000552392052633044,0.0006407169795406514,9233.62453638309,5287.522870367994,1.0008825249784488
logd[9],0.17197552278778316,0.10640005036372106,-0.024866002370150773,0.3737439949411229,0.0013626001850035128,0.0013020996127040205,6137.310231900912,5615.75931674314,1.0000319476922779
logd[10],0.40668683130954025,0.06452342322304161,0.2811838484471764,0.5246664985295919,0.0005811186127247711,0.0008179427994675754,12143.196792935923,5532.8573883336285,0.9999634182354893
logd[11],0.32724367623216893,0.04714039813418669,0.24507394846338101,0.3974487938135078,0.0005578093010050945,0.000510762547950157,5853.4980909651895,3509.2127150645865,1.0005374366339335
logd[12],0.38139566914258644,0.06841321785504208,0.25275221974397427,0.5079986482950963,0.0009204702959171783,0.0007902502950413049,5466.229451786731,4747.171657752616,1.0006500635876805
logd[13],0.3252384581003522,0.07585543039885011,0.177506693133192,0.46048532816238885,0.0007467985345717194,0.000868655473108094,10482.867889650119,5744.057345466953,1.0003749922803753
logd[14],0.47193714637416,0.11274063324290286,0.25102008374321033,0.6731986362210016,0.001060996520701186,0.0013445508887450926,11291.530563918617,5528.9843761507345,1.000269832048725
logd[15],0.2629399880819367,0.0853643373185971,0.11061960694686446,0.4286827753485996,0.0009460858785685757,0.0010262655862314464,8170.8437376294105,6161.749487775081,1.0003827053539027
logd[16],0.33712401263564484,0.07891149785281,0.19700880776354388,0.49145012060766136,0.0007303180479800465,0.0008963221528755997,11519.820097884836,5475.602133220747,1.0002970190076585
logd[17],0.07909013926333334,0.0733970401383492,-0.05429515847459097,0.21889224823397213,0.0006177447826539925,0.000984728594992174,14148.210396703174,4874.887638346129,1.0011847845588542
logd[18],0.3077693061640021,0.07194506623634257,0.1754488714761371,0.44622779813663666,0.0006648133073014654,0.0008066495439402524,11547.106615913463,5324.8362360778265,1.0011372112499044
logd[19],0.642667832341165,0.042913703815454944,0.5632548778000729,0.7227179288759512,0.0005271808121272612,0.00047088235914957986,6388.528219893649,5385.644045683287,0.9999052644964612
logd[20],0.03155855215166142,0.06542166383803044,-0.08947428547091939,0.15479945600489883,0.0006668665723106523,0.0006955868337819187,9638.354586638023,6658.036115226484,1.001346822788723
logd[21],0.08371668147678898,0.07190108136192044,-0.05084107162184184,0.21901073868163604,0.0005834304842124021,0.0009121954917423175,15298.045639628375,5720.6468010809,1.0007991357190782
logd[22],0.11642814240187212,0.08016255371199132,-0.03430720677136401,0.2666851737737731,0.0006578594223363045,0.001015603840834775,14946.344222434716,5391.974297862797,1.000535418377226
logd[23],0.02972027461029948,0.07634986934231094,-0.11042179487635263,0.17519007517840912,0.00072678737331265,0.000913525208582162,11193.287918994465,4925.382881846656,1.000006880380208
logd[24],-0.04510096175133526,0.10993047216242322,-0.25558804548301617,0.15424081497382722,0.0008458021040388403,0.0015963836520517442,17222.308629946307,5340.128433946689,1.0002943426889128
logd[25],-0.15411001399488639,0.026640150385583844,-0.20311154015687022,-0.10853481880702333,0.0003064748258516058,0.00026915908115426196,6907.809070611426,4197.517445600083,1.0002367401908447
