model,parameter,mean,sd,hdi_3%,hdi_97%,r_hat,ess_bulk,ess_tail
RAR,ydisk,0.5563864510658104,0.014292711465951066,0.5288810819551764,0.58238460607206,1.0014165898055243,1251.052471131229,2182.383868403833
RAR,ybul,0.6027879950180816,0.017268901455601435,0.5697165551909316,0.634419069763301,1.0011811197248257,1133.814549402837,2510.9526552308866
RAR,log10_gdagger,-10.05009650205272,0.007647230765754436,-10.064117057411908,-10.03500891996913,1.000595600320651,2940.365668272921,4141.448289880633
PLAMB_OPTICAL_DEPTH_KAPPA_P,ydisk,0.5795760049654444,0.01562358703390317,0.5517098072784075,0.610073097144702,1.0027684956317888,1643.767008828757,3231.553256782637
PLAMB_OPTICAL_DEPTH_KAPPA_P,ybul,0.5987264787260503,0.016823149886720987,0.566715701710743,0.6290387764081152,1.002492448671037,1512.9833158845088,3139.799107447378
PLAMB_OPTICAL_DEPTH_KAPPA_P,log10_kappa,-0.10150641121660788,0.014043741626897204,-0.12768326212235898,-0.07556274636502658,1.0004696343384984,3270.6110880522,4627.788097588871
PLAMB_OPTICAL_DEPTH_KAPPA_P,bridge_exponent,0.5189197452376763,0.004943650036508665,0.5099450145755741,0.5283566710963059,1.0005005230683188,4104.322245476512,4999.0693799022165
