model,retained_draws,divergences,divergence_rate,divergences_by_chain,divergent_max_abs_z_logd_min,divergent_max_abs_z_logd_max,all_max_abs_z_logd_p99,divergent_max_abs_z_logeta_min,divergent_max_abs_z_logeta_max,all_max_abs_z_logeta_p99,divergent_draws_with_latent_abs_ge_3p8,all_draws_with_latent_abs_ge_3p8_fraction,mean_latents_abs_ge_3p8_divergent,mean_latents_abs_ge_3p8_nondivergent,trace_file,trace_sha256
RAR,8000,3,0.000375,1;0;2;0,3.9269140949489825,3.9722572190386343,3.9997990955172615,3.966008536163144,3.9934723085855177,3.999497482804963,3,1.0,8.666666666666666,8.506314868075528,sparc_noncentred_nuts_full_RAR_trace.nc,5645d268b6bc51f488767341b6c8e07f9e40b3db495627a5ad1d99b5b7089d9d
PLAMB_OPTICAL_DEPTH_KAPPA_P,8000,6,0.00075,1;1;2;2,3.950098671870486,3.997948156633096,3.9997925454209096,3.948131369971348,3.9968817385288022,3.9995043620378614,6,1.0,8.5,8.764198148611458,sparc_noncentred_nuts_full_PLAMB_OPTICAL_DEPTH_KAPPA_P_trace.nc,b517661935b2b93e37e2b90df9d56fe7574c3d91f8e43e9f5efeb1636c0ae983
