model,status,ready_for_full_run,likelihood_equivalence_pass,max_rhat,rhat_target,rhat_absolute_ceiling,strict_rhat_pass,ceiling_rhat_pass,min_bulk_ess,min_tail_ess,minimum_ess_required,ess_pass,divergences,divergence_pass,minimum_bfmi,minimum_bfmi_required,energy_pass,maximum_tree_depth_observed,configured_max_tree_depth,max_tree_depth_hits,elapsed_seconds,chains,tune_per_chain,draws_per_chain,compile_seconds
RAR,FAIL,False,True,1.0025889583595389,1.01,1.05,True,True,1133.814549402837,2182.383868403833,400.0,True,3,False,0.8539605559662025,0.3,True,9,12,0,801.0318802000256,4,2000,2000,49.45961270001135
PLAMB_OPTICAL_DEPTH_KAPPA_P,FAIL,False,True,1.0028276088626102,1.01,1.05,True,True,1512.9833158845088,2304.5192803411815,400.0,True,6,False,0.8525206780901741,0.3,True,8,12,0,984.4319728999981,4,2000,2000,50.644400399993174
