target,z_lo,z_hi,n_bcuts,N_min,N_max,amp_mean,amp_min,amp_max,amp_cv,snr_max,snr_mean,max_pair_direction_sep_deg,mean_resultant_length,coherence_score
broad_0p95_1p45,0.95,1.45,6,118193,192357,0.003020169000683141,0.0024625544308247162,0.00406481446557537,0.18534817757344857,4.785199523533652,4.446301628713173,13.47234103753834,0.9961011647643815,3.6683057844097684
narrow_1p15_1p35,1.15,1.35,6,46793,76060,0.0012771712608198578,0.0012213997577016163,0.001371623220066504,0.03592568954249227,3.296936450655681,3.096971169624984,18.513666793301493,0.9917239032648633,2.316576703618033
