mock_id,target,z_lo,z_hi,n_bcuts,N_min,N_max,amp_mean,amp_min,amp_max,amp_cv,snr_max,snr_mean,max_pair_direction_sep_deg,mean_resultant_length,coherence_score
0,broad_0p95_1p45,0.95,1.45,6,95073,192357,0.0014307098955249151,0.000573716448832203,0.0020015375326654697,0.37091411193759216,1.7678877016009027,1.3983375665791007,75.49716703684574,0.8806668703816558,0.5814361245485166
0,narrow_1p15_1p35,1.15,1.35,6,37701,76060,0.0008433653008189023,0.0004790569242318224,0.0013962661923133178,0.35791436129925575,1.8123699861320206,1.3142797741356986,18.507283151571244,0.9921361769745608,1.2741105949310128
1,broad_0p95_1p45,0.95,1.45,6,95449,192357,0.0013272471185125773,0.0008308392269554943,0.002037668065400784,0.3347906973536146,2.0714789282615658,1.6718963174251378,66.99696702788535,0.918854179525897,0.7647744440718421
1,narrow_1p15_1p35,1.15,1.35,6,37687,76060,0.0010522061936472642,0.0009183556823594825,0.0012216846555840963,0.10645528779702915,2.041785739902794,1.5869680494251883,67.6705183470145,0.9250347614434068,0.75434573803557
2,broad_0p95_1p45,0.95,1.45,6,95268,192357,0.001882858694092828,0.0016986476490942271,0.0020147428201803008,0.05740838187170231,3.237096677665992,2.927520593923422,26.993722673869073,0.9823961765938156,1.987742926163536
2,narrow_1p15_1p35,1.15,1.35,6,37769,76060,0.0011705656483678838,0.0003713701417790398,0.0015105126148486669,0.33129111086129837,2.136526744047111,1.7472375566708795,94.32944293561039,0.8393010517311607,0.579156205247758
3,broad_0p95_1p45,0.95,1.45,6,95468,192357,0.0008325230314132548,0.00022124638000643878,0.0018386515292732968,0.627692257759487,1.236769057999104,0.718844680483791,148.0018363485197,0.6973120712322313,0.20107906971433198
3,narrow_1p15_1p35,1.15,1.35,6,37766,76060,0.0010178359918702141,0.0004231576871564481,0.0017115137203061142,0.4410158758501375,2.0843983550550247,1.8017290087091364,79.0095988489763,0.8335906660711413,0.6305082535334834
4,broad_0p95_1p45,0.95,1.45,6,95553,192357,0.0016656670676307285,0.0012758531562049842,0.0019907855584834354,0.14715930331692026,1.9432297675836347,1.6994310433763988,46.632360723692216,0.955342605662563,0.9116894716082365
4,narrow_1p15_1p35,1.15,1.35,6,37829,76060,0.0017613016086359852,0.0015209699640303183,0.0021530387326565825,0.11960794336245407,3.51029097001845,2.720262389768116,68.58059291485442,0.9073831656780462,1.2619502002832255
5,broad_0p95_1p45,0.95,1.45,6,94977,192357,0.0008261851668307701,0.0004404301528487041,0.0013534649476282772,0.3486463533890852,1.491627947664595,1.1706249789233143,106.36430660811297,0.7831516442318319,0.34729250751899554
5,narrow_1p15_1p35,1.15,1.35,6,37645,76060,0.0013620334874416837,0.0010603052109444463,0.0018397280943741746,0.2154653002405398,2.622481425161933,1.8003553584557421,35.87182128932584,0.9783611434085923,1.4276669526577634
6,broad_0p95_1p45,0.95,1.45,6,95103,192357,0.0021449029153573357,0.0012662883577875964,0.0027427433072141337,0.24919357120886132,2.249943322094015,2.102924421913196,42.60957833646961,0.9554979740914845,1.1042369420170606
6,narrow_1p15_1p35,1.15,1.35,6,37777,76060,0.0009191637294864613,0.0007054226565619343,0.0011726113918553173,0.165628962440222,1.8126941220673836,1.39236689542588,17.91868667709288,0.9936416510173389,1.2882115217501824
7,broad_0p95_1p45,0.95,1.45,6,95499,192357,0.0007916496069701466,0.0002776732765265821,0.0017128950945414412,0.6442576039855414,2.036983849721505,0.9040867658243807,161.38781715844317,0.3715786494262125,0.16503147966367343
7,narrow_1p15_1p35,1.15,1.35,6,37783,76060,0.0012953349423135182,0.0005139231563760906,0.0024418844564759036,0.5162843416185369,2.186249401885895,1.6912688554659272,45.99255164729167,0.9655223087671659,1.0439235292624527
8,broad_0p95_1p45,0.95,1.45,6,95215,192357,0.0019408009102158293,0.0010640440498426913,0.0031697049611102554,0.3650492456456721,2.0632937450945663,1.7117127975163795,47.906847471455436,0.9549123768286218,0.9543097785910237
8,narrow_1p15_1p35,1.15,1.35,6,37839,76060,0.0008945157026023728,0.0005015070611983504,0.0011937613124894573,0.24138673571887584,2.05687885484634,1.6742784160982547,113.65357907855532,0.7530708998401355,0.4393465489936702
