role,window_index,tag,bcut_deg,z_center,N,observed_amp,observed_abs_par_cmb,observed_formal_snr,observed_priority,max_abs_su2_delta_mu,observed_l_deg,observed_b_deg,observed_sep_cmb_deg,global_p_any_window_snr_ge_observed,global_p_any_window_priority_ge_observed,global_p_any_window_abs_par_ge_observed,z1p00_family_p_any_bcut_snr_ge_observed,z1p00_family_p_any_bcut_priority_ge_observed
observed_max_snr+observed_max_priority,153,z1p00_1p50,35.0,1.25,119719,0.0030496633427067,0.0018955580977711,3.705935958477851,0.0355780584367076,0.0096002895989926,145.3283284732673,-26.78092969869836,128.43036789813831,0.4186046511627907,0.16611295681063123,0.9966777408637874,0.016611295681063124,0.016611295681063124
target,13,z1p00_1p50,10.0,1.25,194552,0.0020920732573586,0.0011353427258482,3.4795472766175406,0.0334046615289144,0.0096002895989926,159.01838267740072,-32.12160537617276,122.8668001717104,0.6877076411960132,0.3654485049833887,1.0,0.05647840531561462,0.05647840531561462
target,41,z1p00_1p50,15.0,1.25,185739,0.0022497252686966,0.0012199505308011,3.597784382649293,0.034539771988166,0.0096002895989926,155.97867831531985,-29.01927375052633,122.83805947605632,0.5448504983388704,0.23920265780730898,1.0,0.03322259136212625,0.03322259136212625
target,97,z1p00_1p50,25.0,1.25,155609,0.0023677957403885,0.0011241520448593,3.498565996535912,0.0335872467479329,0.0096002895989926,165.21993365451428,-31.310651857986382,118.34420152880912,0.6744186046511628,0.3388704318936877,1.0,0.05647840531561462,0.05647840531561462
