target,z_lo,z_hi,bcut_deg,N,a0,amp,l_deg,b_deg,formal_snr,rms_resid
broad_0p95_1p45,0.95,1.45,10.0,192357,1.20659398455839,0.0024625544308247162,144.8963229644915,-38.13748665257459,4.19872995373752,0.14612059259934856
broad_0p95_1p45,0.95,1.45,15.0,183527,1.2068648164422155,0.0025486913348735205,138.99062883535083,-36.60409979634421,4.235313002887794,0.146152553344992
broad_0p95_1p45,0.95,1.45,20.0,169941,1.2070158632406123,0.0026031162285152466,139.59240244809465,-37.76014588249855,4.204760886186573,0.14617147839168104
broad_0p95_1p45,0.95,1.45,25.0,153651,1.207107232483758,0.0031974930004755753,145.52361389521948,-33.94562761405772,4.768188414679074,0.14615627855549462
broad_0p95_1p45,0.95,1.45,30.0,136052,1.2071677474156104,0.003244344543834419,139.38459620901426,-32.430574459206966,4.485617991254423,0.1461488431533827
broad_0p95_1p45,0.95,1.45,35.0,118193,1.207013997589119,0.00406481446557537,145.8499306909128,-25.377755683544827,4.785199523533652,0.1460604605702451
narrow_1p15_1p35,1.15,1.35,10.0,76060,1.2491608259438838,0.0012677296325309271,161.32904144424293,-30.696358483114697,3.25791713327345,0.058257124252316744
narrow_1p15_1p35,1.15,1.35,15.0,72593,1.24916569991824,0.001279678674735869,161.87698440467415,-29.618576773453384,3.19416276294594,0.058242803055169046
narrow_1p15_1p35,1.15,1.35,20.0,67211,1.2492131158730766,0.0012213997577016163,171.22742937193135,-37.93585926262771,3.101464303259385,0.05829073482184416
narrow_1p15_1p35,1.15,1.35,25.0,60758,1.2492138639971557,0.001371623220066504,155.20535234406574,-36.63631817420783,3.296936450655681,0.05836022788244132
narrow_1p15_1p35,1.15,1.35,30.0,53791,1.2492866847873967,0.0012607220603264764,169.57375894380934,-37.336034602798954,2.8818498589386743,0.05839390114741014
narrow_1p15_1p35,1.15,1.35,35.0,46793,1.2491935381409254,0.0012618742195577533,178.25136291486953,-41.74113605102795,2.8494965086767756,0.0583831328579339
