file,mask_deg,fwhm_deg,R0,A_eff,l_deg,b_deg,p_perm,rel_bias_vs_truth,axis_delta_min_deg
SM_synth_FR_m0_f4_summary.json,0,4,0.23899983887892207,0.0009453502579738165,230.0022173750098,-10.008102000817036,0.0196078431372549,-0.011139897516928345,0.008391113873948275
SM_synth_FR_m0_f6_summary.json,0,6,0.23899984768579915,0.000944298804003905,230.0019072218743,-10.008341032394412,0.0196078431372549,-0.012239744765789784,0.008549885477911414
SM_synth_FR_m0_f8_summary.json,0,8,0.23899985669426613,0.0009428245901827659,230.00162932733838,-10.008550200201764,0.0196078431372549,-0.013781809432253255,0.008699454800315424
SM_synth_FR_m0_f10_summary.json,0,10,0.23899986640240645,0.0009409304392818767,230.00126915917474,-10.008758429353689,0.0196078431372549,-0.01576313882648885,0.008847159869747035
SM_synth_FR_m10_f4_summary.json,10,4,0.23899989105556715,0.00094407570881787,230.0115603192325,-10.043403540255035,0.0196078431372549,-0.012473107931098347,0.044871607749302794
SM_synth_FR_m10_f6_summary.json,10,6,0.23899989676714933,0.0009427633787203816,230.01128768481388,-10.051489056384977,0.0196078431372549,-0.013845838158596739,0.052675166881372464
SM_synth_FR_m10_f8_summary.json,10,8,0.23899990113807962,0.0009409132618871277,230.01066097775043,-10.063261545374992,0.0196078431372549,-0.01578110681262798,0.06412667856632309
SM_synth_FR_m10_f10_summary.json,10,10,0.2389999060175181,0.000938524432537024,230.01006390149112,-10.079061042786156,0.0196078431372549,-0.0182798822834477,0.07967968754574639
SM_synth_FR_m20_f4_summary.json,20,4,0.23899992599627123,0.0009259814512321357,230.0260660957919,-10.079701658385803,0.0196078431372549,-0.03140015561492082,0.08373258614285971
SM_synth_FR_m20_f6_summary.json,20,6,0.23899995520794937,0.0009243783248756583,230.02656251772189,-10.094413892910781,0.0196078431372549,-0.033077066029646184,0.0979697688998557
SM_synth_FR_m20_f8_summary.json,20,8,0.23899998742734366,0.0009221597417599777,230.02830271910685,-10.114791084562059,0.0196078431372549,-0.03539775966529528,0.1181253871274584
SM_synth_FR_m20_f10_summary.json,20,10,0.23900002370155957,0.0009193092565990776,230.0310057173492,-10.141482136310428,0.0196078431372549,-0.03837943870389377,0.14473822287603236
SM_synth_FR_m30_f4_summary.json,30,4,0.23899986956474056,0.0008834053773161819,230.02945057732558,-10.124304352720749,0.0196078431372549,-0.07593579778642069,0.12764181173953487
SM_synth_FR_m30_f6_summary.json,30,6,0.23899986771627463,0.0008814141798618293,230.0311291917831,-10.149084405973728,0.0196078431372549,-0.0780186403118941,0.1522022787270607
SM_synth_FR_m30_f8_summary.json,30,8,0.23899986945632543,0.0008786555053969755,230.032493831334,-10.183340701235656,0.0196078431372549,-0.08090428305755709,0.18611083468417786
SM_synth_FR_m30_f10_summary.json,30,10,0.23899987439129566,0.000875145061911006,230.0327351130698,-10.227303522111217,0.0196078431372549,-0.08457629507216952,0.22957664084347484
