summary_case,model,eta_fac,omega_b_h2,post_eann_baryon_density_factor,Yp_mass,D_H_1e5,He3_H_1e5,Li7_H_1e10,Li6_H_1e14,z_D_H_1e5,chi2_D_H_1e5,z_Yp_mass,chi2_Yp_mass,z_Li7_H_1e10,chi2_Li7_H_1e10,chi2_abundances_measurement,chi2_D_He,D_He_each_2sigma,D_He_Li_each_2sigma,stellar_depletion_to_plateau
SBBN_reference,SBBN,1.0,0.02242,1.0,0.24698584498871037,2.433742611728278,1.0354710440656854,5.69727051991149,0.0,-2.5605995955766248,6.556670288867174,0.661948329570126,0.4381755910206801,16.98908207964596,288.62890990894755,295.6237557888354,6.994845879887854,False,False,3.9291520826975797
SU2CMB_fixed_reference_eta,SU2CMB_asymptotic,1.0,0.02242,4.0,0.3165009165330407,0.6444114339168608,0.7126917055960351,26.47639726116333,0.0,-64.26167469252204,4129.562834287527,23.833638844346897,568.0423405627613,100.10558904465333,10021.128957977016,14718.734132827305,4697.605174850289,False,False,18.25958431804368
SU2CMB_entropy_compensated_eta,SU2CMB_asymptotic,0.25,0.005605,1.0,0.3076501375768962,7.32294390734141,1.5781069189841268,1.919050636646951,0.0,166.03254852901415,27566.80717103944,20.88337919229873,436.11552648933554,1.8762025465878045,3.520135995822563,28006.442833524598,28002.922697528775,False,False,1.3234831976875525
SU2CMB_best_D_He_any_eta,SU2CMB_asymptotic,0.4799999999999999,0.010761599999999998,1.9199999999999997,0.3121423726942185,2.5287667923304205,1.0403215652660074,7.647360062868793,0.0,0.7160962872558775,0.5127938926216522,22.38079089807284,500.89980122326,24.78944025147517,614.5163479814573,1115.928943097339,501.41259511588163,False,False,5.274041422668133
SU2CMB_best_all_abundances_any_eta,SU2CMB_asymptotic,0.45999999999999996,0.010313199999999998,1.8399999999999999,0.3118728054694799,2.7137730867466465,1.0666902904799553,6.966424829750543,0.0,7.095623680918845,50.347875421216294,22.290935156493294,496.8857901509887,22.06569931900217,486.89508643661287,1034.1287520088179,547.233665572205,False,False,4.8044309170693404
SU2CMB_best_in_published_omega_b_prior,SU2CMB_asymptotic,0.6244424620874219,0.013999999999999999,2.4977698483496877,0.313760030023832,1.6108536849150816,0.8981266531235453,12.961716152432833,0.0,-30.936079830514426,957.0410352799615,22.920010007944008,525.3268587642534,46.04686460973134,2120.313740386928,3602.6816344311433,1482.367894044215,False,False,8.939114587884713
