scenario,D_He_each_sigma_limit,point_id,family,eta_fac,clock_factor,delta_neff_initial,tau_n_fac,q_pull_chi2,D_H_1e5,Yp_mass,Li7_H_1e10,z_D_H_1e5,z_Yp_mass,z_Li7_H_1e10,li_depletion_to_centre,li_suppression_to_2sigma_upper
su2_expansion_only,2.0,eta_clock_tau_grid|eta1.000000|S1.080000|tau0.9986354|q0,eta_clock_tau_grid,1.0,1.08,1.0221714285714292,0.9986354332499432,0.0,2.5199365037849257,0.2502319415348396,5.555355006700839,0.41160357879054216,1.743980511613193,16.421420026803354,3.8312793149660958,2.8489000034363277
su2_expansion_only,3.0,eta_clock_tau_grid|eta1.000000|S1.080000|tau0.9986354|q0,eta_clock_tau_grid,1.0,1.08,1.0221714285714292,0.9986354332499432,0.0,2.5199365037849257,0.2502319415348396,5.555355006700839,0.41160357879054216,1.743980511613193,16.421420026803354,3.8312793149660958,2.8489000034363277
su2_plus_modest_rate_controls,1.0,random_targeted_li_be|eta0.987714|S1.022083|tau0.9991898|Be7nLi7p+1.67_He3aBe7g-2.19_Li7paa+0.34,random_targeted_li_be,0.9877138698627574,1.022083073063074,0.2743019649154951,0.9991897898934916,7.676472137796886,2.507126497955734,0.2476600866709389,5.122271580059807,-0.03012076014710556,0.8866955569796312,14.689086320239227,3.532601089696419,2.626805938492209
su2_plus_modest_rate_controls,2.0,random_targeted_li_be|eta0.988909|S1.062648|tau1.0002284|Be7nLi7p+0.71_He3aBe7g-2.45,random_targeted_li_be,0.9889085458421792,1.0626477474919953,0.7937814451059851,1.000228394865718,6.49092918865251,2.54839762674808,0.2496370109582254,5.112978223610318,1.3930216120027625,1.5456703194084709,14.65191289444127,3.5261918783519435,2.622040114671958
su2_plus_modest_rate_controls,3.0,random_targeted_li_be|eta0.988909|S1.062648|tau1.0002284|Be7nLi7p+0.71_He3aBe7g-2.45,random_targeted_li_be,0.9889085458421792,1.0626477474919953,0.7937814451059851,1.000228394865718,6.49092918865251,2.54839762674808,0.2496370109582254,5.112978223610318,1.3930216120027625,1.5456703194084709,14.65191289444127,3.5261918783519435,2.622040114671958
su2_plus_scanned_rate_controls,1.0,random_targeted_li_be|eta0.987172|S1.004789|tau0.9999074|Be7nLi7p+0.87_He3aBe7g-4.00_Li7paa-1.92,random_targeted_li_be,0.9871715745903402,1.00478889318136,0.0589758505723953,0.9999073865394352,20.458949493091215,2.491150481605639,0.2470474806736095,5.00921673431056,-0.5810178756676166,0.6824935578698307,14.23686693724224,3.454632230559007,2.568829094518236
su2_plus_scanned_rate_controls,2.0,random_targeted_li_be|eta0.992982|S1.046499|tau1.0005561|Be7nLi7p+4.00_He3aBe7g-2.72,random_targeted_li_be,0.9929821061990456,1.0464993357509866,0.5845595668960023,1.000556125851498,23.3766677539298,2.513748792607462,0.2490516005714861,4.923829974998345,0.19823422784351627,1.350533523828699,13.895319899993378,3.395744810343686,2.525041012819664
su2_plus_scanned_rate_controls,3.0,li_be_combo_ladder|eta1.000000|S1.000000|tau1.0000000|Be7nLi7p+3.00_He3aBe7g-5.00_Li7paa+4.00,li_be_combo_ladder,1.0,1.0,0.0,1.0,50.0,2.4337386457708114,0.2469858454113878,4.844958663840179,-2.5607363527306397,0.6619484704625996,13.579834655360717,3.3413508026483996,2.484594186584707
all_scanned_controls,1.0,random_targeted_li_be|eta0.979530|S0.988371|tau1.0009746|Be7nLi7p+2.61_He3aBe7g-3.81_Li7paa-1.42,random_targeted_li_be,0.9795299049255703,0.9883714046752152,-0.1420349365821017,1.0009745613525087,23.37165240913792,2.5061139185912147,0.2464648461089408,4.856508623896386,-0.06503728995811457,0.48828203631359757,13.626034495585543,3.349316292342335,2.490517243023788
all_scanned_controls,2.0,random_targeted_li_be|eta0.967389|S0.980574|tau1.0009173|Be7nLi7p+1.95_He3aBe7g-4.00_Li7paa+1.00,random_targeted_li_be,0.9673886336541946,0.9805743120183482,-0.2363404000312789,1.0009173287344528,20.7991178222404,2.5495084051352754,0.2460026946008253,4.74103110096854,1.4313243150094974,0.3342315336084349,13.164124403874158,3.269676621357614,2.431298000496687
all_scanned_controls,3.0,random_targeted_li_be|eta0.975073|S1.042334|tau1.0006481|Be7nLi7p+2.64_He3aBe7g-3.98,random_targeted_li_be,0.975072621116454,1.0423344760152746,0.531118553610228,1.0006480650364669,22.845106011395,2.5850621609074214,0.2486907881809545,4.69411350742009,2.657315893359357,1.2302627269848339,12.976454029680358,3.237319660289717,2.4072376961128668
