closure,z,N,local_q_over_B,irreducible_AP_chi2,B_DM_over_B_DH,B_relative_to_lowz_anchor
static_fr,0.295,1,21.56579862852689,0.0,,1.0
static_fr,0.51,2,17.35788549767336,200.70009848209088,0.6875615063103349,1.2424208369975451
static_fr,0.706,2,14.613364905016917,384.2250548775251,0.6480484613595983,1.4757585791293784
static_fr,0.934,2,12.328047536670734,1046.7188228545936,0.6147569648856536,1.7493279908580615
static_fr,1.321,2,9.178257786545513,735.0101515761514,0.5377992760526791,2.349661464089664
static_fr,1.484,2,8.646698658820178,170.3065833029002,0.4922858229901603,2.4941078068597213
static_fr,2.33,2,4.5520889139233605,1344.9903753790525,0.4041859824161403,4.7375609387954
fixed_atomic_clock,0.295,1,25.989783972469414,1.3624571573873219e-28,,1.0
fixed_atomic_clock,0.51,2,23.222373195333393,77.76493602094843,0.7899963382687168,1.1191700242631593
fixed_atomic_clock,0.706,2,20.78274709677887,158.11198589656814,0.7544602805506344,1.2505461309538615
fixed_atomic_clock,0.934,2,18.664841641511128,468.5909773756498,0.7207175678045376,1.392445994005511
fixed_atomic_clock,1.321,2,15.074635049147098,408.0233229169831,0.6318352016578915,1.7240738424337432
fixed_atomic_clock,1.484,2,14.41341066012254,101.93468611274965,0.577823549709468,1.8031668274307293
fixed_atomic_clock,2.33,2,8.497828199721777,1002.8897327718204,0.4694067831755272,3.0584030838985816
standard_scale_factor,0.295,1,17.9732384692918,0.0,,1.0
standard_scale_factor,0.51,2,12.42811297057895,430.8084743105893,0.5796758112288388,1.4461759811678423
standard_scale_factor,0.706,2,9.377046963154616,858.774132116374,0.5251020552977395,1.9167269333207289
standard_scale_factor,0.934,2,6.9625470599935815,2357.2622526819514,0.4801238334733885,2.581417161625385
standard_scale_factor,1.321,2,4.273292444548592,1509.5531552184912,0.40061738032694433,4.205946282057089
standard_scale_factor,1.484,2,3.827205201005325,340.53816051244377,0.360918646693992,4.696178418802999
standard_scale_factor,2.33,2,1.4182231413140307,2211.390031183814,0.2790875170788853,12.673068112990315
