closure,z,C_c_over_c0,R_abs_dz_dT_over_H0,H0_lookback_time,a,Q_atomic_frequency_ratio,H_over_H0,D_path_H0_over_c0,chi_H0_over_c0,DH_geometric_H0_over_c0,Xi_luminosity_transfer,J_photon_survival_times_luminosity_ratio,redshift_reconstructed,rate_reconstructed_over_H0
static_fr,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
static_fr,0.295,1.6784999999999999,1.229896378852361,0.265293910852479,1.0,1.2961389961389962,0.0,0.35219447733528253,0.35219447733528253,1.3647491194064978,0.5962940325874689,2.8124128506249995,1.295,1.2298963788523607
static_fr,0.5,2.15,1.3834251863103721,0.4223181159319111,1.0,1.4333333333333333,0.0,0.6520525709923943,0.6520525709923943,1.554113674722159,0.4444444444444445,5.0625,1.5,1.3834251863103721
static_fr,0.706,2.6237999999999997,1.5335294842948577,0.5636550354637061,1.0,1.5379835873388041,0.0,0.9888349895551671,0.9888349895551671,1.710955039906824,0.34359113205031827,8.470637710095998,1.706,1.5335294842948575
static_fr,0.934,3.1482,1.695507286762536,0.7049626586883103,1.0,1.6278179937952428,0.0,1.3960289127728136,1.3960289127728136,1.8567894249580543,0.2673542304529301,13.990263006736004,1.9340000000000004,1.6955072867625358
static_fr,1.0,3.3,1.7416678023500245,0.7433680220451248,1.0,1.65,0.0,1.5198385951164752,1.5198385951164752,1.8947356066107008,0.25,16.0,2.0,1.7416678023500247
static_fr,1.321,4.0383,1.9620577613823758,0.9168608697464171,1.0,1.7398965962947006,0.0,2.155138533862307,2.155138533862307,2.0581962873278505,0.18563066440370515,29.02021073568099,2.3209999999999997,1.962057761382376
static_fr,1.484,4.4132,2.0716042239795787,0.9976956531017066,1.0,1.7766505636070853,0.0,2.496588926148941,2.496588926148941,2.1303296975916495,0.16206782992472274,38.072059105536,2.484,2.0716042239795787
static_fr,2.0,5.6,2.409467103956859,1.2283263078469056,1.0,1.8666666666666665,0.0,3.647820395314961,3.647820395314961,2.324165368684057,0.1111111111111111,81.0,3.0,2.409467103956859
static_fr,2.33,6.359,2.6193929992876286,1.3596260558586653,1.0,1.9096096096096096,0.0,4.432233618919936,4.432233618919936,2.427661676475961,0.09018027036045054,122.96370321,3.33,2.6193929992876286
fixed_atomic_clock,0.0,1.0,1.0,0.0,1.0,1.0,-1.2999999999999998,0.0,0.0,1.0,1.0,1.0,1.0,1.0
fixed_atomic_clock,0.295,1.6784999999999999,1.229896378852361,0.265293910852479,1.2961389961389962,1.0,-0.7355645001607058,0.35219447733528253,0.30307676584500226,1.0529342327264906,0.534612099259291,3.498826709187699,1.295,1.2298963788523607
fixed_atomic_clock,0.5,2.15,1.3834251863103721,0.4223181159319111,1.4333333333333333,1.0,-0.557659765024336,0.6520525709923943,0.5222026616103821,1.0842653544573202,0.38718079891638785,6.670714854480482,1.5,1.3834251863103721
fixed_atomic_clock,0.706,2.6237999999999997,1.5335294842948577,0.5636550354637061,1.5379835873388041,1.0,-0.44537488998114994,0.9888349895551671,0.7485158850686892,1.1124663839016091,0.29512979039731907,11.480846256552896,1.706,1.5335294842948575
fixed_atomic_clock,0.934,3.1482,1.695507286762536,0.7049626586883103,1.6278179937952428,1.0,-0.36201305175999804,1.3960289127728136,1.005426247420703,1.1406615678384084,0.22804754955988196,19.228667071434263,1.9340000000000004,1.6955072867625358
fixed_atomic_clock,1.0,3.3,1.7416678023500245,0.7433680220451248,1.65,1.0,-0.3430557792507623,1.5198385951164752,1.0809639233804946,1.1483246100670916,0.21303076822166128,22.035115587671935,2.0,1.7416678023500247
fixed_atomic_clock,1.321,4.0383,1.9620577613823758,0.9168608697464171,1.7398965962947006,1.0,-0.27213313285706064,2.155138533862307,1.4552424628402822,1.1829417286699702,0.15800328419109627,40.056017835961654,2.3209999999999997,1.962057761382376
fixed_atomic_clock,1.484,4.4132,2.0716042239795787,0.9976956531017066,1.7766505636070853,1.0,-0.24566593470699125,2.496588926148941,1.6493883805135479,1.1990707352528003,0.1380762259946605,52.4520158621257,2.484,2.0716042239795787
fixed_atomic_clock,2.0,5.6,2.409467103956859,1.2283263078469056,1.8666666666666665,1.0,-0.18644685923475696,3.647820395314961,2.2802802589199733,1.245088590366459,0.09522170160374818,110.28796516423634,3.0,2.409467103956859
fixed_atomic_clock,2.33,6.359,2.6193929992876286,1.3596260558586653,1.9096096096096096,1.0,-0.1608092240254368,4.432233618919936,2.6955423876244353,1.2712868977299812,0.07765035034988424,165.84911595224966,3.33,2.6193929992876286
standard_scale_factor,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
standard_scale_factor,0.295,1.6784999999999999,1.229896378852361,0.265293910852479,0.7722007722007722,1.6784999999999999,0.9497269334767267,0.35219447733528253,0.4067770767907309,1.7673501096314144,0.668584497211151,2.2371102910784892,1.2950000000000002,1.229896378852361
standard_scale_factor,0.5,2.15,1.3834251863103721,0.4223181159319111,0.6666666666666666,2.15,0.9222834575402481,0.6520525709923943,0.8264910576108073,2.3311705120832382,0.5259605775427877,3.614877734706663,1.5000000000000002,1.3834251863103721
standard_scale_factor,0.706,2.6237999999999997,1.5335294842948577,0.5636550354637061,0.5861664712778429,2.6237999999999997,0.898903566409647,0.9888349895551671,1.366907374450828,2.9188892980810417,0.42403891246580283,5.561456901353304,1.706,1.5335294842948572
