Galaxy,scenario,N_points,rar_success,plamb_success,rar_profile_objective,plamb_profile_objective,delta_objective_plamb_minus_rar,delta_objective_per_point,signed_log1p_delta_per_point
NGC3992,baseline,9,True,True,15.521694019217046,15.247569693753718,-0.2741243254633279,-0.03045825838481421,-0.030003614351185752
NGC4010,baseline,12,True,True,20.767940641363623,20.88722795406242,0.11928731269879833,0.009940609391566527,0.009891526541621044
NGC4013,baseline,36,True,True,54.53773782030743,52.47581522562481,-2.0619225946826205,-0.057275627630072795,-0.05569543697270472
NGC4051,baseline,7,True,True,9.445398299872753,9.421348553616038,-0.024049746256714855,-0.0034356780366735507,-0.0034297895782647715
NGC4085,baseline,7,True,True,24.385073226079836,24.65308290426802,0.2680096781881858,0.03828709688402654,0.03757233309415107
NGC4088,baseline,12,True,True,8.984203609818032,8.993433579909702,0.00922997009167048,0.0007691641743058734,0.0007688685191375511
NGC4100,baseline,24,True,True,27.158310863681105,27.33715048011211,0.17883961643100577,0.00745165068462524,0.007424024292260229
NGC4138,baseline,7,True,True,5.830556200700317,5.912634345445642,0.08207814474532427,0.011725449249332038,0.011657238849901662
NGC4157,baseline,17,True,True,9.09189672287864,8.922851792066766,-0.1690449308118751,-0.009943819459522066,-0.00989470500857657
NGC4183,baseline,23,True,True,21.143324454106356,21.191637301127386,0.048312847021030336,0.0021005585661317537,0.0020983554775917757
NGC4217,baseline,19,True,True,131.08600753962892,130.5194298418594,-0.5665776977695316,-0.029819878829975346,-0.02938391202678827
NGC4559,baseline,32,True,True,11.184507221662777,11.181460656324683,-0.0030465653380939983,-9.520516681543745e-05,-9.520063509117003e-05
NGC5005,baseline,18,True,True,2.4075160385008267,2.553741721590053,0.14622568308922634,0.008123649060512574,0.008090829844869954
NGC5033,baseline,22,True,True,97.17994562322339,102.78074518615915,5.600799562935762,0.2545817983152619,0.22680228861676122
NGC5055,baseline,28,True,True,27.40120455170148,30.148240606004716,2.747036054303237,0.09810843051082989,0.09358909095371157
