Galaxy,Q,D_Mpc,resolved,preferred_name,ra_deg,dec_deg,gal_b_deg,abs_gal_b_deg,central_cz_kms,count_2mpc_mk23,count_5mpc_mk23,nearest_mpc_mk23,tidal_strength_mk23,sideband_count_5mpc_mk23,shifted_count_2mpc_mk23,shifted_count_5mpc_mk23,shifted_nearest_mpc_mk23,shifted_tidal_strength_mk23,shifted_sideband_count_5mpc_mk23,count_2mpc_mk22,count_5mpc_mk22,nearest_mpc_mk22,tidal_strength_mk22,sideband_count_5mpc_mk22,shifted_count_2mpc_mk22,shifted_count_5mpc_mk22,shifted_nearest_mpc_mk22,shifted_tidal_strength_mk22,shifted_sideband_count_5mpc_mk22
UGC05986,2,8.63,True,NGC 3432,163.1290498,36.618623,63.161852774924476,63.161852774924476,616.07350119,0,24,2.4388463764808774,1.2663154856930343,1,1,3,0.4755846795113606,9.586922545630806,3,4,67,1.2304785968797691,2.918915682819458,14,3,14,0.4755846795113606,10.246817919866585,15
UGC05999,2,47.7,True,UGC 05999,163.24637,7.6202164,55.829792210219075,55.829792210219075,3391.8518698119997,1,5,1.7395888226930534,0.4798128899337471,2,1,11,1.9595696897126156,1.8655257836761907,29,1,8,1.7395888226930534,0.5311304882005421,11,2,16,0.6116478999166212,4.450539826415671,63
UGC06399,1,18.0,True,UGC 06399,170.84676,50.892712,60.96052244663674,60.96052244663674,791.4521131033966,9,35,0.7239165411956822,13.310687427438095,4,0,13,2.7057422917399236,0.7849980154125658,1,14,55,0.7239165411956822,15.501788438091573,19,0,17,2.7057422917399236,0.8106101744858428,3
UGC06446,1,12.0,True,UGC 06446,171.6685962,53.7469469,59.139709073480866,59.139709073480866,646.05274699,5,23,0.6104434288053451,12.599078613465716,5,1,6,1.687191379729536,0.5698452137085245,0,14,51,0.23286160662261457,68.60898841979542,22,1,16,1.687191379729536,0.8127691747056329,3
UGC06614,1,88.7,True,UGC 06614,174.8119847,17.1436695,70.56379869277652,70.56379869277652,6358.9999989056105,3,31,0.8437820818231778,8.565662299526322,14,2,11,1.733196106622799,1.042742737496808,7,3,31,0.8437820818231778,8.565662299526322,14,2,11,1.733196106622799,1.042742737496808,7
UGC06628,2,15.1,True,UGC 06628,175.0241,45.9428,66.46617123458411,66.46617123458411,849.0122410559999,17,40,0.41890789425025543,40.63981178240938,1,0,13,2.6875603454314727,0.565258479651614,0,25,61,0.41890789425025543,43.400643137283964,11,0,17,2.6875603454314727,0.6219341191012406,1
UGC06667,1,18.0,True,UGC 06667,175.609601,51.598099,62.29007490623592,62.29007490623592,973.1263306596983,16,35,0.596166100173526,38.51853717644389,4,0,14,3.43685226340477,0.5529367770024256,1,23,57,0.4110151733725269,51.580455601814094,18,0,17,3.3609024114291293,0.5760494603088333,3
UGC06786,1,29.3,True,NGC 3900,177.2893645,27.0220066,76.14469226317298,76.14469226317298,1799.953917832,0,4,4.1090007505672625,0.19692204085068268,15,0,7,2.1996519300633635,0.46669734747253905,7,1,5,0.2967540183286803,21.124039805856686,27,1,13,1.8792223279002047,0.6878601292061514,28
UGC06787,2,21.3,True,NGC 3898,177.313612,56.0845081,58.96167416865942,58.96167416865942,1161.7857124874,10,31,0.510816718269179,34.295332583429435,6,0,11,3.026094685881446,0.5920849479362617,0,20,48,0.4431450557965165,51.808174267049814,23,0,17,2.2945284308383047,0.7255396110599378,7
UGC06818,2,18.0,True,UGC 06818,177.69563,45.807193,67.77826817951308,67.77826817951308,808.2404787596982,20,36,0.5417447922213015,42.82361500577001,2,0,4,3.593210529866136,0.22048924438008297,1,26,55,0.5417447922213015,46.63076487715905,10,0,6,3.593210529866136,0.23916818862892344,3
UGC06917,1,18.0,True,UGC 06917,179.1101361,50.4287882,64.44830247240313,64.44830247240313,910.7695113873966,21,36,0.2235926218420119,230.32976562859312,3,0,9,4.170520422946022,0.3069998384945748,1,29,56,0.2235926218420119,241.92115932752307,16,0,11,3.582479539148179,0.32929010596051755,4
UGC06923,2,18.0,True,UGC 06923,179.206091,53.160305,62.06375342898384,62.06375342898384,1086.6153618382846,14,31,0.07652064518008866,4688.492367552342,2,0,12,3.522609371984463,0.4292423236951295,1,21,53,0.07652064518008866,4697.5108344983655,17,0,17,2.7424238552293936,0.48746918853373483,4
UGC06930,1,18.0,True,UGC 06930,179.3222455,49.2832027,65.51065040920446,65.51065040920446,777.0620361463771,21,37,0.46184989649254066,79.33918255801271,2,0,7,4.402744996946012,0.1853144178692813,1,29,54,0.46184989649254066,90.66271814550748,12,0,9,3.928076825002805,0.20685628242726517,3
UGC06983,1,18.0,True,UGC 06983,179.7909,52.7072,62.6261272042853,62.6261272042853,1081.051603548,15,32,0.2222649272360428,495.8035093862095,2,0,11,3.6881661241358157,0.37241898384804406,1,22,54,0.2222649272360428,504.2341089323316,18,0,16,2.8681469621703877,0.42521580213306787,4
UGC07089,2,18.0,True,UGC 07089,181.49072,43.143313,71.52240848733423,71.52240848733423,769.867032144,16,47,0.06708581854076565,3518.6667493540267,1,0,3,3.0095929508733454,0.17626334076304812,1,22,66,0.06708581854076565,3520.831637923088,9,0,4,2.8728684035318803,0.212288052599503,2
UGC07125,1,19.8,True,UGC 07125,182.1762216,36.8027653,76.76183054575097,76.76183054575097,1069.0000000994576,6,42,0.9078580594225821,11.536752262368916,1,1,5,1.7579445674825063,0.5189955524014509,3,9,62,0.9078580594225821,12.318789107321964,12,1,7,1.7579445674825063,0.5595796884330857,13
UGC07151,1,6.87,True,NGC 4144,182.4942895,46.4574161,69.0074928958329,69.0074928958329,265.01653287199997,4,14,0.2101330373869351,198.11119280457478,2,0,3,2.918220932472505,0.1342945496391517,1,11,33,0.2101330373869351,200.64426780503652,25,0,7,2.918220932472505,0.18218736423308685,19
UGC07232,2,2.83,True,NGC 4190,183.43654,36.634031,77.58932864050283,77.58932864050283,228.14205274339608,2,4,0.6581631159626182,5.903926271516156,0,0,4,2.600219017091984,0.290651889013488,0,4,11,0.41829763846164253,12.37704748038129,0,1,11,1.5197674941798938,0.6271914303998548,0
UGC07261,2,13.1,True,NGC 4204,183.8100415,20.6587668,79.50368790483283,79.50368790483283,869.997713116,11,50,0.6117173604531562,20.41972651676785,11,0,1,4.975860936183395,0.019313994966789497,1,22,89,0.6117173604531562,25.640659495689704,24,0,4,2.777388874063319,0.07164007149686727,18
UGC07323,1,8.0,True,NGC 4242,184.37574,45.619298,70.31554049266323,70.31554049266323,515.043442844,9,23,0.23775012194586334,192.6940547097128,4,0,2,3.3635320807632305,0.11200041629005822,2,19,59,0.23775012194586334,211.33566331093826,22,0,8,2.1132997700868725,0.2674188386766534,11
UGC07524,1,4.74,True,NGC 4395,186.4535831,33.54686417,81.53288019542411,81.53288019542411,318.9791603223771,3,11,0.7464007711384497,13.34770566724947,0,0,11,2.6434025966218306,0.35195735805512246,0,10,32,0.5005260454757111,21.13406159602418,5,0,32,2.6434025966218306,0.5525772220157925,5
UGC07559,2,4.97,True,UGC 07559,186.7714738,37.14268004,78.74342154874446,78.74342154874446,219.448079256,4,13,0.5272762833598433,15.611855228457136,0,0,13,2.533275868130148,0.39106969879848924,0,10,31,0.27360574359852663,48.309263252887355,10,0,31,2.533275868130148,0.5342013075561323,10
UGC07577,2,2.59,True,UGC 07577,186.92042,43.495556,72.94224823275783,72.94224823275783,194.8650982995849,2,4,0.8283863313385784,4.1075541916015945,0,0,4,2.2676149107304986,1.9204717423616948,0,3,10,0.8283863313385784,4.563233578614963,0,0,10,2.256984366098647,2.217627548592857,0
UGC07603,1,4.7,True,NGC 4455,187.18381,22.820447,83.29153497218923,83.29153497218923,643.954199784,3,8,0.40585283545126977,70.76257475016155,0,0,8,4.449567497341482,0.18656355224638582,0,12,35,0.3846773598749363,82.58112859830942,3,0,35,2.8544958793731503,0.41075029941222463,3
UGC07608,1,8.21,True,UGC 07608,187.1841667,43.22413889,73.25971451656069,73.25971451656069,536.028914904,9,22,0.6336983159599011,33.51862174213596,3,0,2,3.525415825923781,0.09945579916453802,2,23,61,0.12539252184117566,294.57892337726577,25,0,8,2.3188616914253752,0.2147353283581963,11
UGC07690,2,8.11,True,UGC 07690,188.11207,42.704121,73.95231401243689,73.95231401243689,538.1274621099999,9,23,0.5343050121901867,41.86247732484821,3,0,3,3.4838425155925616,0.11012469342167312,2,22,61,0.15768025964208726,193.5511803732866,25,0,9,2.3658843054355407,0.2169932535381688,12
UGC07866,2,4.57,True,IC 3687,190.5630627,38.50183876,78.46503010207127,78.46503010207127,354.054892898,2,9,0.2470485658837178,78.99949804504982,0,0,9,2.141952238477557,0.37970769630290574,0,10,31,0.2470485658837178,92.25911425382749,3,0,31,2.141952238477557,0.608603020271545,3
UGC08286,1,6.5,True,NGC 5023,198.0525,44.04122222,72.57730806203962,72.57730806203962,407.118157964,5,14,0.24015687145626788,134.37887916704457,1,0,4,2.2583991606171665,0.23002547288892275,1,11,35,0.24015687145626788,143.94778177055016,25,0,8,2.2583991606171665,0.27168001361344274,11
UGC08490,1,4.65,True,NGC 5204,202.402125,58.41872222,58.005142278028586,58.005142278028586,200.86094685999998,3,12,1.463928911663286,1.7007288187072145,0,1,12,0.6864056406926653,3.8335325139194274,0,9,28,0.49995026449861996,11.202435324360813,8,1,28,0.6864056406926653,4.0108118503857515,8
UGC08550,1,6.7,True,NGC 5229,203.5121246,47.9148788,67.61238731213388,67.61238731213388,358.851572226,5,14,0.11768095837275108,876.2752442553905,1,1,3,1.7423523678799657,0.45829156100186696,1,9,31,0.11021194670666823,1387.9804931835895,23,1,7,1.7423523678799657,0.5009936297118633,13
UGC08699,2,39.3,True,NGC 5289,206.2863611,41.5034103,71.89207474660795,71.89207474660795,2526.051359033285,11,14,0.14503927096766023,1158.9879888131436,7,1,3,1.906958996446204,0.2753094848949902,3,16,24,0.14503927096766023,1160.2922780568529,19,2,10,1.8461639027474246,0.44179254317137057,5
UGC08837,2,7.21,True,UGC 08837,208.6908333,53.90330556,60.79662843161413,60.79662843161413,143.90037984,4,12,0.1654723527606819,402.3323228889334,5,1,1,1.0382759839700548,2.3239303719518696,1,4,22,0.1654723527606819,402.5254261067751,35,1,4,1.0382759839700548,2.356774720766106,12
UGC09037,2,83.6,True,UGC 09037,212.121441,7.0580253,62.85174816579013,62.85174816579013,5940.087762811999,1,16,1.3503990819494103,2.602989470587916,56,6,10,0.9825293508646044,5.697257469587657,9,1,16,1.3503990819494103,2.602989470587916,57,6,10,0.9825293508646044,5.697257469587657,9
UGC09133,1,57.1,True,NGC 5533,214.0322731,35.3438658,70.17481316614307,70.17481316614307,3857.129764628,2,23,1.077846433877625,4.445305587600574,20,0,0,5.0,0.0,0,2,33,1.077846433877625,4.725575725833878,35,0,0,5.0,0.0,0
UGC09992,2,10.7,True,UGC 09992,235.4493917,67.25425785,42.36561427744288,42.36561427744288,426.90446019199993,0,6,2.1023768022926137,0.506446509948646,2,1,1,1.8954659866473116,0.8432695693482208,2,1,11,0.4535993485313049,8.070054491764466,12,1,2,1.8954659866473116,0.8600584022710186,9
UGC10310,1,15.2,True,UGC 10310,244.0760405,47.0465236,45.52857179162238,45.52857179162238,715.904395699849,5,18,0.4199290594410694,20.934279218992256,6,0,6,3.476394667062897,0.30176276980964833,0,7,28,0.4199290594410694,21.79308878139375,11,1,11,0.5090925966655879,7.83139860272278,16
UGC11455,1,78.6,True,UGC 11455,292.4847246,72.1129945,22.844916372164253,22.844916372164253,5392.966526962,3,9,0.5522679555129963,14.586443930638184,9,1,1,1.7579623108383167,0.6608298354036586,16,4,10,0.07604596434665359,1250.432822472721,9,1,1,1.7579623108383167,0.6608298354036586,18
UGC11557,2,24.2,True,UGC 11557,306.0027368,60.1947942,12.814816225231695,12.814816225231695,1388.0390805399998,0,8,2.2676069685235176,1.2837205222082988,12,0,2,3.9576080577933324,0.0432997025728795,7,1,11,1.0897600693048146,1.629308420289276,36,0,5,3.9576080577933324,0.06319449789663173,16
UGC11820,1,18.1,True,UGC 11820,327.3684742,14.2308537,-29.515615729000007,29.515615729000007,1099.938528402,1,6,1.3957678821819923,1.2571482701446972,6,0,0,5.0,0.0,4,1,11,1.3957678821819923,1.3153346092321256,17,0,2,4.492102105513338,0.0122335299663663,10
UGC11914,1,16.9,True,NGC 7217,331.9683054,31.35934611,-19.707199818445854,19.707199818445854,945.0000001131605,2,11,0.8528106460022002,5.290437909680114,10,0,0,5.0,0.0,2,4,18,0.681443112337462,7.007195932709388,52,0,0,5.0,0.0,5
UGC12506,2,100.6,True,UGC 12506,349.8771127,16.074809,-41.38010574001954,41.38010574001954,7237.889313494,4,20,0.5249507558219952,15.371166944388639,7,1,2,1.4069502365781912,1.0262000056973841,26,4,20,0.5249507558219952,15.371166944388639,7,1,2,1.4069502365781912,1.0262000056973841,26
UGC12632,1,9.77,True,UGC 12632,352.4944505,40.99037714,-19.311034506139748,19.311034506139748,414.99999997831566,1,6,1.4448651092541689,1.5421652440596736,2,0,4,4.447542538856463,0.1568301451839837,0,1,9,1.4448651092541689,1.5866744263275334,16,0,4,4.447542538856463,0.1568301451839837,3
UGC12732,1,13.2,True,UGC 12732,355.165801,26.2365069,-33.983563226816635,33.983563226816635,747.0828053359999,1,5,1.8781854820491637,0.7166564906226338,6,0,0,5.0,0.0,0,1,12,1.8781854820491637,0.9595376988704755,20,0,0,5.0,0.0,1
UGCA442,1,4.35,True,UGCA 442,355.9403434,-31.95669689,-74.52938818397301,74.52938818397301,267.115080078,2,10,1.1612246897934222,3.3947285123819633,0,0,10,3.6816656330930067,0.32792852984755994,0,8,23,1.1612246897934222,4.963077872076136,2,0,23,2.780696129951843,0.5089213172623923,2
UGCA444,2,0.98,True,UGCA 444,0.4923563,-15.4610809,-73.62444047232319,73.62444047232319,-130.0000000127119,1,1,0.8266134993755433,5.382270812587478,0,1,1,0.9788869441162008,3.246064472488523,0,1,1,0.8266134993755433,5.382270812587478,0,1,1,0.9788869441162008,3.246064472488523,0
