Galaxy,Q,D_Mpc,resolved,preferred_name,ra_deg,dec_deg,gal_b_deg,abs_gal_b_deg,central_cz_kms,count_2mpc_mk23,count_5mpc_mk23,nearest_mpc_mk23,tidal_strength_mk23,sideband_count_5mpc_mk23,shifted_count_2mpc_mk23,shifted_count_5mpc_mk23,shifted_nearest_mpc_mk23,shifted_tidal_strength_mk23,shifted_sideband_count_5mpc_mk23,count_2mpc_mk22,count_5mpc_mk22,nearest_mpc_mk22,tidal_strength_mk22,sideband_count_5mpc_mk22,shifted_count_2mpc_mk22,shifted_count_5mpc_mk22,shifted_nearest_mpc_mk22,shifted_tidal_strength_mk22,shifted_sideband_count_5mpc_mk22
ESO116-G012,1,13.0,True,ESO 116- G 012,48.2699788,-57.3569769,-50.82510401456708,50.82510401456708,1146.1065669339998,5,16,0.24906597475029157,157.07281130463062,1,1,3,1.2302047002319292,1.4887550633639284,1,9,32,0.24906597475029157,157.82760221563237,11,1,14,1.2302047002319292,1.697983330466778,15
ESO444-G084,2,4.83,True,ESO 444- G 084,204.3329122,-28.044124,33.73916333356121,33.73916333356121,586.993632764,4,9,0.15364763523589103,509.5603237695184,0,0,9,3.4818031318005063,0.24033889696276778,0,6,37,0.15364763523589103,510.1989828858552,4,1,37,1.4148338589929657,0.7322467094208296,4
ESO563-G021,1,60.8,True,UGCA 145,131.8208428,-20.0356573,14.397419005175207,14.397419005175207,4579.030123408983,1,4,0.7536670950522525,2.8459848234231258,11,4,15,0.5868563341900837,37.4127976261988,27,2,6,0.7536670950522525,3.1204029827533732,20,4,18,0.5868563341900837,37.452167759888106,42
F563-1,1,48.9,True,LSBC D563-04,133.78004,19.750685,35.76810550771136,35.76810550771136,3491.9999987050555,0,4,2.347525036029212,0.2258502187165501,1,0,3,2.647054116950144,0.232098916955162,11,1,8,0.7162532262466637,2.441270702580785,1,0,3,2.647054116950144,0.232098916955162,22
F563-V2,1,59.7,True,LSBC D563-02,133.2660053,18.4359629,34.857381244354904,34.857381244354904,4310.116108707508,3,4,1.0429049705806297,9.024139061270084,3,1,7,1.9114556435779377,0.5906052308399167,9,7,12,0.7536598504336591,12.54479354712377,8,2,10,1.6610991853290895,0.7464186589307286,17
F565-V2,2,51.8,True,LSBC F565-V02,144.3745,21.76122222,45.8001018391743,45.8001018391743,3680.851769344754,1,4,0.5353096318253822,24.78673448063647,0,0,9,2.854393336908546,0.2725002880663441,20,1,6,0.5353096318253822,24.81507615169039,1,0,9,2.854393336908546,0.2725002880663441,31
F568-1,1,90.7,True,LSBC F568-01,156.5264065,22.4335689,56.79466976538716,56.79466976538716,6524.083590912983,1,7,1.1424529066187532,1.410518902426075,12,0,0,5.0,0.0,1,1,7,1.1424529066187532,1.410518902426075,12,0,0,5.0,0.0,1
F568-3,1,82.4,True,LSBC F568-03,156.8343651,22.2401039,57.01604087200722,57.01604087200722,5911.008014302983,2,12,0.42646386394265556,36.18072237748285,16,0,0,5.0,0.0,6,2,12,0.42646386394265556,36.18072237748285,16,0,0,5.0,0.0,7
F568-V1,1,80.6,True,LSBC F568-V01,161.2586211,22.0542249,60.89965393524749,60.89965393524749,5779.6367407431935,4,8,0.05261304331143283,8756.537212921306,10,0,0,5.0,0.0,5,4,8,0.05261304331143283,8756.537212921306,10,0,0,5.0,0.0,7
F571-8,1,53.3,True,LSBC F571-08,173.479706,19.359974,70.60426791770476,70.60426791770476,3767.000001164877,1,11,1.5921016057941704,2.09030995946273,6,1,4,1.1602487255216645,1.321094448907593,6,4,21,1.0267629774636335,3.1887777148280794,16,2,8,1.1602487255216645,1.455065396112798,11
F571-V1,2,80.1,True,LSBC F571-V01,171.57949,18.835923,68.76672629698353,68.76672629698353,5706.403139310496,4,8,0.19836690651089536,196.2763779014616,14,0,4,3.7128332115670246,0.2343287175758184,6,4,9,0.19836690651089536,196.28423601459863,15,0,4,3.7128332115670246,0.2343287175758184,7
F574-1,1,96.8,True,LSBC F574-01,189.5292277,22.3136459,84.3147468055875,84.3147468055875,6888.931072257475,0,9,2.7768566932423546,1.1766896048211357,5,0,2,2.7255640688637834,0.15769568589336042,7,0,9,2.7768566932423546,1.1766896048211357,5,0,2,2.7255640688637834,0.15769568589336042,7
F579-V1,1,89.5,True,LSBC F511-V01,218.2077111,22.7614452,66.64757420901131,66.64757420901131,6294.142775626983,0,0,5.0,0.0,14,1,2,1.4655015540291707,0.3672323946537551,5,0,0,5.0,0.0,14,1,2,1.4655015540291707,0.3672323946537551,5
F583-1,1,35.4,True,LSBC D584-04,239.3647679,20.6665745,47.229450571444254,47.229450571444254,2265.737862317104,0,10,2.8195152226007907,1.0453756712308904,7,3,13,1.36550896984823,2.820367853699162,11,2,25,1.464705720583913,1.5373583169904248,22,6,23,1.36550896984823,3.332277783608576,37
F583-4,1,53.3,True,LSBC F583-04,238.0389771,18.7979601,47.80068010658938,47.80068010658938,3644.3724534496437,4,5,0.41264394767138995,51.92705704970932,25,7,13,0.5298110268495133,28.945666130841275,18,4,6,0.41264394767138995,51.940002157141855,38,12,24,0.5298110268495133,33.67423581988348,26
IC2574,2,3.91,True,IC 2574,157.0972782,68.4121591,43.607037423188366,43.607037423188366,56.960568818754744,2,8,0.20770591419505305,425.988751819359,0,0,8,2.034784020177534,1.971417542622878,0,4,18,0.20770591419505305,426.53503050492816,4,3,18,1.4526834571526626,2.603774752133257,4
IC4202,1,100.4,True,IC 4202,197.1316527,24.7007982,85.45544407645738,85.45544407645738,7122.999999710888,1,6,0.5631586683647978,11.945032667914905,2,0,8,2.898339673709131,0.49477414454424407,3,1,6,0.5631586683647978,11.945032667914905,2,0,8,2.898339673709131,0.49477414454424407,3
KK98-251,2,6.8,True,PGC1 0065001 NED007,307.6370833,60.35472222,12.228158780494564,12.228158780494564,125.91283146062261,1,7,0.06797525879559393,3865.810664368379,0,2,12,1.3273131672755567,10.38574038536332,0,1,9,0.06797525879559393,3865.828190895051,17,2,16,1.3273131672755567,10.512838040317291,13
NGC0024,1,7.3,True,NGC 0024,2.485281,-24.963219,-80.43454410737188,80.43454410737188,554.016462384,4,21,0.9737161110602324,12.03707969326359,2,0,2,4.60641610404449,0.02838528723983559,1,19,50,0.6202675618642679,19.22835217104263,20,0,7,2.2848390975797557,0.12823455995716437,10
NGC0055,2,2.11,True,NGC 0055,3.723345,-39.196571,-75.73095925147447,75.73095925147447,130.9999999971282,0,1,2.082353040015702,1.5679288500008124,0,1,1,1.9794784077904075,1.825143851965825,0,4,9,0.5642461922749263,7.4127771362275,0,6,9,1.895568459643023,2.45761571972871,0
NGC0100,1,13.5,True,NGC 0100,6.012434167,16.48711778,-45.88140348414576,45.88140348414576,843.9157692699999,2,14,1.1771367004707778,5.685890291044471,6,0,0,5.0,0.0,0,2,29,1.1771367004707778,6.084348874375628,24,0,0,5.0,0.0,2
NGC0247,2,3.7,True,NGC 0247,11.785301,-20.760195,-83.5568351807158,83.5568351807158,173.9999999865739,1,9,0.29220366710463114,105.05108143268335,0,0,9,3.5850771160931485,1.2521901964007873,0,6,18,0.1560451859968712,252.81727868556555,2,0,18,2.5587219289867407,1.4053790110781674,2
NGC0289,2,20.8,True,NGC 0289,13.176134,-31.2058643,-85.91303154583862,85.91303154583862,1629.0722167719998,2,7,1.8652720166406607,3.2027041817632473,13,3,7,1.4360188840258554,1.644397928746514,3,4,13,0.4140829342856094,15.667385725675723,24,9,18,0.7025912865001087,5.904490896731075,15
NGC0300,2,2.08,True,NGC 0300,13.722702,-37.684212,-79.41906923014925,79.41906923014925,147.19999999050262,0,1,2.041796728838291,1.616213103320338,0,1,1,1.873157267689628,2.092858907477931,0,4,7,0.4499441695351642,11.437471151936082,0,5,7,1.8668936426927571,2.6240044023595672,0
NGC0801,1,80.7,True,NGC 0801,30.9366465,38.2587886,-22.457089038790947,22.457089038790947,5767.107514546,2,25,0.2144091443581063,564.0115863189078,35,18,37,0.18870322187988262,853.6376888862037,6,2,26,0.2144091443581063,564.0225157217108,36,19,40,0.18870322187988262,854.2006096085877,6
NGC0891,1,9.91,True,NGC 0891,35.63711,42.34832,-17.415246823679357,17.415246823679357,527.934518538,2,7,0.8144872732006675,7.925201143149927,0,1,6,1.8426505199579433,0.6685270617305537,1,3,11,0.8144872732006675,8.088456920865596,12,2,12,1.7893386808418574,0.8385191609242334,8
NGC1003,1,11.4,True,NGC 1003,39.820784,40.8725757,-17.544655678544906,17.544655678544906,623.868105098,2,6,0.36244535049569876,67.13275283458702,5,1,5,1.569515242125699,0.913699062513635,3,4,10,0.36244535049569876,67.40822264081191,17,1,9,1.569515242125699,1.0442470218249182,12
NGC1090,1,37.0,True,NGC 1090,41.6415417,-0.2471141,-51.44369668790538,51.44369668790538,2740.312021463226,2,6,1.445397645036643,2.0127196768811983,34,0,0,5.0,0.0,19,3,14,1.1648177253121306,2.745259071064372,48,0,2,2.976163954742585,0.02695102507298791,38
NGC2683,2,9.81,True,NGC 2683,133.1720971,33.42185359,38.76067682007146,38.76067682007146,411.01544792630165,0,3,2.501606979354541,0.24934639660234864,1,1,13,1.5530023313166088,1.5944519129451495,9,0,7,2.501606979354541,0.3182836512436202,12,1,20,1.5530023313166088,1.666689379786407,28
NGC2903,1,6.6,True,NGC 2903,143.04213,21.50083,44.54009672280068,44.54009672280068,549.8193679719999,0,13,2.9745042144080944,0.4296031692817099,0,0,9,2.241866354378111,0.4546509567715679,1,1,36,1.6830236244315735,0.996201485348414,11,1,31,1.6422487939117005,0.7789300924694831,18
NGC2915,2,4.06,True,NGC 2915,141.5493119,-76.6266558,-18.357278150655006,18.357278150655006,467.976026938,1,6,1.8118221222005708,0.8361820613930203,0,2,6,0.6116108995422601,8.898982653459793,0,3,22,1.190021647525535,1.6478557722003944,1,4,22,0.5243279114808262,12.435048572252567,1
NGC2955,1,97.9,True,NGC 2955,145.3192299,35.8822297,48.94233987456259,48.94233987456259,7007.948498208,4,7,0.7977550498483091,15.845433587384306,21,0,0,5.0,0.0,1,4,7,0.7977550498483091,15.845433587384306,21,0,0,5.0,0.0,1
NGC2976,2,3.58,True,NGC 2976,146.81381,67.916679,40.90216053923422,40.90216053923422,2.654747056855614,3,6,0.08605687310876917,2994.4716142989328,0,2,6,1.7403987942096468,2.101870938227998,0,5,15,0.08605687310876917,2994.930777844984,3,7,15,1.1189800324993115,2.967616162463143,3
NGC2998,1,68.1,True,NGC 2998,147.1817112,44.0814226,49.8101525516,49.8101525516,4784.088044764,2,14,0.5576268352888614,9.200135999969445,1,0,1,4.180260925532458,0.02321618523167115,4,6,18,0.12634201770585468,659.7743771222601,2,0,3,3.9684477494658785,0.04402502976417014,5
NGC3109,1,1.33,True,NGC 3109,150.7786667,-26.15958333,23.070172752822653,23.070172752822653,402.9210605540754,0,0,5.0,0.0,0,0,0,5.0,0.0,0,0,0,5.0,0.0,0,0,0,5.0,0.0,0
NGC3198,1,13.8,True,NGC 3198,154.979176,45.549816,54.82891185056577,54.82891185056577,660.1429925159999,1,21,0.9953243395570883,2.4043669529627016,6,2,13,0.868001716108088,3.241276599153788,5,1,41,0.9953243395570883,2.6806817044189506,23,3,19,0.868001716108088,3.4205655293579023,14
NGC3521,1,7.7,True,NGC 3521,166.4524208,-0.03586388889,52.82924897041176,52.82924897041176,798.9469005699999,5,20,1.7011721897902314,1.8359976349261193,3,0,1,4.502274332359948,0.020054195758737486,0,12,55,1.7011721897902314,2.933255358324083,13,0,7,4.2694501997939,0.06374887980439639,2
NGC3726,2,18.0,True,NGC 3726,173.3379772,47.0292224,64.87862241632861,64.87862241632861,864.001863956,13,34,0.6963478036117039,14.92791108430088,3,0,13,3.2544717646322434,0.5414491789937522,1,18,54,0.3574937589382393,25.198155915531967,14,0,16,3.2544717646322434,0.5593754995904755,3
NGC3741,1,3.21,True,NGC 3741,174.0257551,45.28390912,66.44643511759804,66.44643511759804,229.94081528599997,2,6,1.3375211502466857,1.6743807164957656,0,0,6,2.666155839504674,0.3920133458176663,0,8,15,0.428248538406309,9.177240447311853,0,2,15,1.609149261798602,0.8140059557250072,0
NGC3769,2,18.0,True,NGC 3769,174.433602,47.892963,64.74940367950794,64.74940367950794,737.1896842012458,17,36,0.3574376542082261,65.81369017899482,4,0,12,3.6023181237836015,0.449412718581689,1,21,53,0.3574376542082261,67.77810757639983,15,0,14,3.6023181237836015,0.46205632058043217,3
NGC3877,2,18.0,True,NGC 3877,176.5322004,47.49454704,65.95647234762814,65.95647234762814,894.8804871299999,22,34,0.4040688899198199,40.71961583893577,3,0,8,3.77233753009682,0.33923360455228546,1,28,54,0.4040688899198199,56.09086163370564,15,0,11,3.77233753009682,0.35961206385532124,3
NGC3893,1,18.0,True,NGC 3893,177.1589984,48.7108953,65.22723338040848,65.22723338040848,967.130433532905,20,32,0.40408124783863797,43.32664775926449,2,0,10,4.127044413461898,0.3479137968368478,1,27,54,0.37624968099765754,60.427880895125476,13,0,12,4.127044413461898,0.3657667820776776,3
NGC3917,1,18.0,True,NGC 3917,177.6895411,51.8246185,62.79377547400576,62.79377547400576,964.7321478315474,17,33,0.21602087863661076,338.20979737095354,3,0,10,3.671633192179475,0.38442130155118887,1,23,52,0.21602087863661076,341.62190217112106,15,0,14,3.198987084624521,0.41702135095450243,4
NGC3949,2,18.0,True,NGC 3949,178.4241452,47.8587188,66.40587458503215,66.40587458503215,793.5999998523417,23,36,0.37625455165145344,77.86656399437749,2,0,4,4.124113410574664,0.15866824949102445,1,29,55,0.37625455165145344,80.00333096864401,10,0,6,3.988007527591344,0.17845835798609458,3
NGC3953,1,18.0,True,NGC 3953,178.4542849,52.3268,62.59027523811394,62.59027523811394,1049.873187916,16,32,0.3748343983788472,101.75682356712686,1,0,12,3.668096057254729,0.42485355849918593,1,23,52,0.21617648387186977,158.99926867429994,13,0,17,3.0198070589952346,0.47502390312138076,4
NGC3972,1,18.0,True,NGC 3972,178.9380329,55.3205853,60.053541099720135,60.053541099720135,842.4767654716,13,32,0.10599682198546574,1504.83395993034,2,0,12,2.8745540717936775,0.5065208732201726,1,18,48,0.06924428799472772,2457.4696231559906,16,0,15,2.088712014887342,0.5738341208498352,4
NGC3992,1,23.7,True,MESSIER 109,179.3998522,53.3747107,61.9231554300745,61.9231554300745,1046.65941276624,13,36,0.4936869994606797,80.5647967514039,3,0,3,4.486291600518787,0.10157673502273074,1,18,49,0.4936869994606797,83.05881081745454,19,0,7,3.517375844125668,0.1397277498497505,5
NGC4010,2,18.0,True,NGC 4010,179.658195,47.26144,67.35881793096543,67.35881793096543,901.7757406453211,22,37,0.3987308962264003,66.03700775840616,2,0,6,4.1080104557935355,0.1879731813412178,1,29,56,0.32197294557817374,89.32809126246636,14,0,8,3.676458960012305,0.2108517465441233,3
NGC4013,2,18.0,True,NGC 4013,179.6304505,43.94741316,70.0883174239804,70.0883174239804,831.3244650485279,18,40,0.3190362902468066,144.47300200069301,2,0,3,3.1095679104479284,0.20406841733853592,1,24,61,0.3190362902468066,146.08353153355728,9,0,5,3.1095679104479284,0.23097103121961066,2
NGC4051,2,18.0,True,NGC 4051,180.7900304,44.5313083,70.0851585995503,70.0851585995503,700.3152088693212,20,47,0.31897140807600516,115.4945043266392,5,0,3,3.3539937020379633,0.16019888518420247,1,27,67,0.31897140807600516,117.76783009707019,18,0,4,3.127258018418886,0.1881299414012502,3
NGC4068,2,4.37,True,NGC 4068,181.0032706,52.5882027,63.04348199521918,63.04348199521918,205.95741864599998,3,10,1.0536653027485874,2.708250340562819,0,0,10,3.383231987693601,0.4358755067861479,0,8,23,0.4419135654129261,13.211502559425117,4,1,23,1.6268442540984307,0.8436701648970694,4
NGC4085,2,18.0,True,NGC 4085,181.3447645,50.3528545,65.16716844979726,65.16716844979726,760.092598843368,19,37,0.05926187124445634,4747.6647506299,3,0,4,4.373135868670333,0.08267787803129065,1,26,53,0.05926187124445634,4750.118268136667,12,0,6,3.5758277004048544,0.10808604282117396,4
NGC4088,1,18.0,True,NGC 4088,181.3928356,50.539385,65.0108520718113,65.0108520718113,745.883635504,18,35,0.2752891037825645,232.50406295213753,3,0,4,4.355451700708048,0.08409112975095949,1,26,52,0.05941069516185327,1218.7274743967607,13,0,6,3.5181898775330103,0.10974010157878938,4
NGC4100,1,18.0,True,NGC 4100,181.535557,49.582504,65.91649535106305,65.91649535106305,1074.4561844616228,18,30,0.30186986523877357,144.68308370978292,0,0,9,4.378801622736294,0.19278165319870333,1,25,52,0.24504314292636123,176.6380780407222,12,0,12,3.7688625323122515,0.2248696223470309,4
NGC4138,2,18.0,True,NGC 4138,182.3741696,43.6853081,71.40379192941971,71.40379192941971,873.89501507,16,44,0.23958363411438183,211.32005140218936,1,0,5,3.2461866974495988,0.16748743342294917,1,22,65,0.23958363411438183,214.25856781615076,12,0,6,2.7155587635320098,0.21014013874115342,4
NGC4157,1,18.0,True,NGC 4157,182.768173,50.485004,65.40791962605526,65.40791962605526,771.066201976,15,36,0.2753474556104802,157.5901711220946,3,0,4,4.093284089750348,0.08368277352357903,1,24,53,0.2753474556104802,177.62628286158883,13,0,6,3.537271496232955,0.11134750775602771,4
NGC4183,1,18.0,True,NGC 4183,183.32032,43.698588,71.72696347434153,71.72696347434153,929.056827342,16,45,0.21497288580178123,177.5841582734734,1,0,5,3.3508813208819572,0.15270427512487528,1,23,66,0.21497288580178123,181.61116629445837,13,0,6,2.5124804901716917,0.20655344004094967,5
NGC4214,2,2.87,True,NGC 4214,183.9132083,36.32688889,78.07453699915948,78.07453699915948,291.098476718,2,4,0.6445477196136672,6.409171471812048,0,0,4,2.64507460894434,0.28512742726502455,0,4,11,0.41784598631796843,13.070056650444323,0,1,11,1.5436279625574987,0.6155788641131351,0
NGC4217,1,18.0,True,NGC 4217,183.96208,47.091778,68.8468165188675,68.8468165188675,1027.988338482,19,37,0.24935954401598526,108.54746893353587,2,0,5,4.1267713865009075,0.1165881178220581,1,23,59,0.24935954401598526,111.25097953917617,12,0,8,2.8912545837791135,0.16211295591802316,3
NGC4559,1,9.0,True,NGC 4559,188.990119,27.9599586,86.4700281109732,86.4700281109732,813.93652347,6,29,0.31008370648880634,76.5203202174066,3,0,2,3.196022910016805,0.04464998361463234,1,16,83,0.31008370648880634,93.88366620826851,16,0,6,3.061879670839808,0.09085667544795799,3
NGC5005,1,16.9,True,NGC 5005,197.7344369,37.0590444,79.24913267075664,79.24913267075664,946.1449974479999,2,31,0.20245282215952928,334.49700561961754,2,0,4,2.44967506754819,0.1422060612982769,2,3,45,0.20245282215952928,334.8349840157091,14,1,6,1.4853288967977047,0.3956813546336452,14
NGC5033,1,15.7,True,SN 2001gd HOST,198.364474,36.593922,79.44786416668298,79.44786416668298,872.995637696,2,30,0.18793503880598372,566.8731337615175,3,0,4,2.2416053690104225,0.1556140802189258,2,4,46,0.18793503880598372,567.3131850132891,14,1,7,1.5655052980375446,0.35766285975342377,11
NGC5055,1,9.9,True,Messier 063,198.9553691,42.0293247,74.28760880970876,74.28760880970876,500.053819944,8,19,0.8198319241036578,23.820716473963895,9,0,3,3.6734614142575723,0.13422813039017795,2,10,51,0.8198319241036578,25.16005742214856,29,0,6,2.1091353971166797,0.20163212440563577,8
NGC5371,1,39.7,True,NGC 5371,208.9164152,40.4617447,71.19608803720818,71.19608803720818,2558.129044114,13,16,0.31154979481527273,406.24905512752304,11,2,3,1.83849607648251,0.3519097731960802,3,17,26,0.2534335361994192,466.03772568411995,25,3,8,0.788364371540588,1.3104814078112113,6
NGC5585,1,7.06,True,NGC 5585,214.9507063,56.7294777,56.47456777697307,56.47456777697307,303.090175038,3,16,0.4115892568455843,29.71669778925061,1,1,2,0.4863175327813685,21.471411564577462,0,5,28,0.4115892568455843,31.664045966229033,25,1,7,0.4863175327813685,21.51418378052697,11
NGC5907,1,17.3,True,NGC 5907,228.9718321,56.32988,51.08731837957945,51.08731837957945,664.9396718439999,1,11,0.4313703197424582,42.484030123068514,3,1,5,1.6715514223525274,1.0138053119431707,2,3,16,0.3242589254891793,59.09064056235561,20,1,5,1.6715514223525274,1.0138053119431707,12
NGC5985,1,39.7,True,NGC 5985,234.9043982,59.3320345,46.82946343506933,46.82946343506933,2521.000000016365,3,5,0.08589267893647513,6023.028385857025,16,6,14,1.4031578599362509,5.306280637794634,0,4,7,0.08589267893647513,6037.166069798824,21,10,23,1.1318157246182161,6.59307527032195,5
NGC6015,2,17.0,True,NGC 6015,237.85536,62.31007,44.12438019331448,44.12438019331448,833.1232407819999,5,16,0.9052266690590862,5.186381343798079,2,0,3,3.4220175625519977,0.14534424150172687,2,6,22,0.9052266690590862,5.594531609573698,12,0,3,3.4220175625519977,0.14534424150172687,16
NGC6195,1,127.8,True,NGC 6195,249.1357648,39.0279099,42.142561053459055,42.142561053459055,8989.575446418168,4,36,0.7634438063035496,13.516894114042758,13,0,4,3.3688495223706636,0.2433026936978607,6,4,36,0.7634438063035496,13.516894114042758,13,0,4,3.3688495223706636,0.2433026936978607,6
NGC6503,1,6.26,True,NGC 6503,267.360098,70.144333,30.640881057805792,30.640881057805792,24.882774014,0,9,2.088989793411231,0.6696377425122272,1,0,9,2.1823755359554458,5.196221437876924,0,0,14,2.088989793411231,0.7133181562629535,22,0,12,2.1823755359554458,5.264812102816069,13
NGC6674,1,51.2,True,NGC 6674,279.6410873,25.3751618,13.919237427426022,13.919237427426022,3429.0261346039997,3,8,0.958328781434521,5.156338074012988,21,0,16,2.1914655244149572,1.922223583281088,24,4,11,0.8591736106377788,5.80332624157025,38,2,27,1.2096503423938072,2.548901339698168,43
NGC6789,2,3.52,True,NGC 6789,289.1746785,63.97115769,21.51688428165075,21.51688428165075,-151.095398832,0,6,2.3906536791565576,2.4663725264388465,0,3,6,0.9419151773200107,16.945362286197373,0,1,11,0.6033720944605901,5.406275849991372,4,6,11,0.9419151773200107,17.52934464479658,4
NGC6946,1,5.52,True,NGC 6946,308.718015,60.153915,11.67288666122126,11.67288666122126,40.00000000621745,0,12,3.620279272185516,2.339379642971645,1,1,9,1.0614682460838103,10.80301336369994,0,0,16,3.250377001057631,2.3767263191288666,11,3,13,1.0614682460838103,11.069456574552678,8
NGC7331,1,14.7,True,SN 2014C HOST,339.266927,34.415756,-20.724004343158114,20.724004343158114,816.0000000548857,2,4,1.7523091193770581,1.0904080453639144,3,0,0,5.0,0.0,0,3,14,1.6940892734120283,1.4352714932796646,31,0,0,5.0,0.0,2
NGC7793,1,3.61,True,NGC 7793,359.4572088,-32.5909942,-77.17109971142101,77.17109971142101,224.39999999260914,1,8,0.8173650976169284,5.157372314694246,0,0,8,3.317863781099736,0.3474052468445299,0,7,17,0.8173650976169284,8.17970831948563,1,0,17,2.204657626187589,0.5659779194375412,1
NGC7814,1,14.4,True,NGC 7814,0.8121263,16.1453085,-45.17479160594727,45.17479160594727,1051.072357748,0,14,2.4994396226915927,1.3195043725362423,2,0,0,5.0,0.0,0,2,26,0.9896586139268561,2.335282660698178,15,0,0,5.0,0.0,3
UGC00191,1,17.1,True,UGC 00191,5.0207326,10.8791308,-51.23903499942777,51.23903499942777,1143.108642354,2,21,1.4718606615143681,8.012129159710467,7,0,0,5.0,0.0,2,2,41,1.4718606615143681,8.412968288749642,22,0,0,5.0,0.0,3
UGC00634,2,30.9,True,UGC 00634,15.3537988,7.6256687,-55.16216448157773,55.16216448157773,2216.065849536,1,14,1.1092804593194956,3.4236445964618483,19,0,1,2.94715849344364,0.04896874865918621,1,3,30,0.32663720574374877,23.749671284380568,40,0,2,2.94715849344364,0.05546603108729986,2
UGC00731,1,12.5,True,UGC 00731,17.6833359,49.602112,-13.149396286884924,13.149396286884924,638.857727998,2,6,0.18911843133483758,2252.8583074399235,4,0,5,3.078188459872641,0.2707170443527471,1,4,12,0.18911843133483758,2254.9355458367017,19,0,8,2.800534049276719,0.31161671845850003,5
UGC00891,2,10.2,True,UGC 00891,20.3291513,12.4125107,-49.79997805391582,49.79997805391582,643.0548314037737,2,14,0.8936642942402905,3.5544590957537854,5,0,0,5.0,0.0,0,5,35,0.8936642942402905,5.061377330314551,35,0,1,4.428827070947806,0.004684369548123453,1
UGC01230,1,53.7,True,SN 2010ji HOST,26.38438,25.52144,-35.76160607231883,35.76160607231883,3837.0436699419997,1,10,0.8730768635549064,5.094303347177032,29,0,1,4.969051368158575,0.010052223996851418,10,3,22,0.8730768635549064,5.432589338217161,56,0,2,4.228959565825334,0.020153050583272825,22
UGC01281,1,5.27,True,UGC 01281,27.38172292,32.58875694,-28.70586707178567,28.70586707178567,155.89207815999998,7,13,0.3507758274472395,181.3013126359831,0,0,10,3.4268184490307587,0.3672690034827885,0,10,23,0.3507758274472395,182.44311752895482,11,1,24,1.2083976032527626,0.8593717108508362,6
UGC02023,2,10.4,True,UGC 02023,38.32583333,33.49111111,-24.739494026654672,24.739494026654672,602.882633038,2,7,1.0423913828645734,4.4973684502022415,1,1,3,0.7333679328681995,5.2577267613004715,1,3,11,0.22829898409032032,43.40237133122652,17,1,7,0.7333679328681995,5.306202745677558,7
UGC02259,2,10.5,True,UGC 02259,41.9811256,37.5378733,-19.796565898156043,19.796565898156043,583.0963308099999,2,7,0.3889021599562179,40.47976616190889,2,1,3,0.7742457354700357,4.641341623202031,2,3,11,0.3889021599562179,40.930616770332975,13,1,8,0.7742457354700357,4.744276258858136,11
